Hour,Light intensity,Vc,Vo,VPGA,VT3P,Vstarch
5,107.7,7.159693,1.380798,0.011694,2.092434,0.026148
6,463.5,25.62401,4.941774,0.040765,5.478708,1.099123
7,851.1,27.7471,5.351226,0.005016,1.808279,3.271934
8,1225.5,27.77014,5.35567,0.004969,1.799724,3.279705
9,1543.9,27.78398,5.358338,0.004975,1.801085,3.281104
10,1792.5,27.79311,5.360099,0.004979,1.801998,3.282024
11,1946,27.79826,5.361093,0.004982,1.802564,3.282514
12,1998.3,27.79992,5.361413,0.004983,1.802733,3.282677
13,1944.3,27.79819,5.36108,0.004982,1.802576,3.282495
14,1786,27.79293,5.360066,0.004979,1.802015,3.281986
15,1539.3,27.78379,5.358303,0.004975,1.801079,3.28108
16,1214.3,27.76958,5.355561,0.004968,1.799639,3.279663
17,844.9,27.74647,5.351106,0.005023,1.809626,3.271162
18,451.1,25.23241,4.86625,0.043165,5.636886,0.959843
19,103.2,6.874668,1.325829,0.011037,2.010855,0.02435
