Hour,Light intensity,Vc,Vo,VPGA,VT3P,Vstarch,Vt_glycerate,Vt_glycolate
5,107.7,6.43156,1.240372,0.002837,1.875521,0.029383,0.6201861168,1.240372306
6,463.5,23.992,4.627029,0.019405,5.878908,0.663921,2.31351423,4.627028981
7,851.1,27.5154,5.306542,0.011882,4.845631,1.714932,2.65327114,5.30654234
8,1225.5,27.54304,5.311872,0.011881,4.846387,1.718717,2.655935884,5.311871821
9,1543.9,27.55859,5.314871,0.011894,4.849346,1.719573,2.657435701,5.314871446
10,1792.5,27.56882,5.316844,0.011903,4.851296,1.720134,2.658422136,5.316844332
11,1946,27.57462,5.317963,0.011908,4.852403,1.720452,2.658981545,5.317963143
12,1998.3,27.57651,5.318327,0.011909,4.852762,1.720555,2.659163295,5.318326635
13,1944.3,27.5746,5.317959,0.011908,4.852398,1.72045,2.658979413,5.31795893
14,1786,27.56862,5.316805,0.011903,4.851258,1.720123,2.658402525,5.316805104
15,1539.3,27.55838,5.314831,0.011894,4.849306,1.719561,2.65741537,5.314830796
16,1214.3,27.54246,5.311761,0.01188,4.846278,1.718685,2.655880491,5.311761023
17,844.9,27.51449,5.306365,0.011884,4.846053,1.714582,2.653182459,5.306364981
18,451.1,23.55842,4.543409,0.019421,5.860595,0.607772,2.271704184,4.543409424
19,103.2,6.171923,1.1903,0.002651,1.802107,0.027084,0.5951497764,1.190299523
