Hour,Light intensity,Vc,Vo,VPGA,VT3P,Vstarch,Vt_glycerate,Vt_glycolate
5,107.7,4.66468,2.33234,0.000997,1.125951,0.019612,1.166170135,2.332340236
6,463.5,15.86591,7.932957,0.006077,3.31491,0.322746,3.96647838,7.93295711
7,851.1,16.51358,8.256788,0.006274,3.38942,0.36635,4.12839372,8.256787621
8,1225.5,16.59644,8.298222,0.006334,3.407314,0.367732,4.149110631,8.298221507
9,1543.9,16.65188,8.325941,0.006373,3.41929,0.368653,4.16297021,8.325940776
10,1792.5,16.68973,8.344865,0.006401,3.427468,0.369282,4.17243257,8.344865381
11,1946,16.71125,8.355627,0.006416,3.432119,0.369639,4.177813215,8.355626561
12,1998.3,16.7183,8.359149,0.006422,3.433641,0.369755,4.17957425,8.359149002
13,1944.3,16.71099,8.355493,0.006416,3.432061,0.369635,4.177746381,8.355492998
14,1786,16.68872,8.344359,0.0064,3.42725,0.369265,4.172179623,8.34435942
15,1539.3,16.65114,8.325568,0.006373,3.419129,0.368641,4.162783746,8.325567684
16,1214.3,16.59428,8.29714,0.006332,3.406847,0.367696,4.148570066,8.29714029
17,844.9,16.51187,8.255934,0.006273,3.389051,0.366321,4.127966737,8.255933688
18,451.1,15.70382,7.851911,0.006032,3.297199,0.311368,3.925956328,7.851911152
19,103.2,4.480111,2.240055,0.000939,1.083628,0.017732,1.120027644,2.240055479
