,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
106,v2_01_1,3.755771,9.693288,11.24393,11.48498,15.79774,10.04948,7.026921,4.277901,12.56705,12.59796,13.95459,15.17333,13.46883,11.17708,4.348725
107,v2_02_1,79.7274,126.4954,140.4128,139.5709,127.9409,143.005,150.7259,158.6248,136.4755,136.4177,132.8432,129.8093,134.7226,138.9145,90.219
108,v2_00_2,39.21681,58.4549,64.38284,64.05673,60.71337,65.35162,69.0031,77.82772,63.14619,63.11478,62.05873,61.13849,62.42002,63.77993,43.94215
109,v2_01_2,85.36235,115.1224,127.0247,126.5514,119.8349,129.7961,141.7518,214.0474,124.732,124.6529,122.4821,120.6039,122.9905,125.6541,94.17371
110,v2_02_2,1812.07,1502.323,1586.269,1537.912,970.5048,1847.009,3040.545,7936.891,1354.563,1349.811,1165.99,1031.778,1230.218,1561.694,1953.735
111,vr2_00_1,0.0006422739,0.001834219,0.002333499,0.002339531,0.002264135,0.002368733,0.002426375,0.002535229,0.002325839,0.002324724,0.002299477,0.002276528,0.002307751,0.002275162,0.0008304204
112,vr2_01_1,0.0008228484,0.001600711,0.001947146,0.00191648,0.001766188,0.001985691,0.002342273,0.004932454,0.001861878,0.001861129,0.001816108,0.001784204,0.00184164,0.001915053,0.001012945
113,vr2_02_1,0.03336245,0.04837378,0.05771409,0.05582071,0.03438939,0.06729463,0.1117817,0.2936555,0.04883853,0.04866797,0.04175383,0.03675274,0.04435494,0.05618468,0.04112475
114,vr2_1,0.03482757,0.05180871,0.06199473,0.06007672,0.03841972,0.07164905,0.1165504,0.3011231,0.05302624,0.05285382,0.04586942,0.04081347,0.04850433,0.0603749,0.04296812
115,vr2_00_2,35.68475,59.14389,66.60811,66.93922,66.94247,67.21834,67.55997,69.25469,67.13924,67.11449,67.0444,66.90545,66.81571,65.71244,40.38998
116,vr2_01_2,45.71747,51.6145,55.57993,54.83479,52.21993,56.34864,65.21823,134.7395,53.74622,53.73054,52.95111,52.43641,53.3205,55.31158,49.26763
117,vr2_02_2,1853.618,1559.8,1647.408,1597.156,1016.773,1909.643,3112.45,8021.767,1409.806,1405.038,1217.39,1080.135,1284.197,1622.756,2000.226
118,vr2_2,1935.02,1670.558,1769.596,1718.93,1135.935,2033.21,3245.228,8225.761,1530.691,1525.883,1337.386,1199.477,1404.333,1743.78,2089.883
119,vP680qU,0.1801079,0.8579552,1.916006,3.240381,6.64748,3.992658,2.667177,1.059469,5.748964,5.536935,6.106359,5.710514,3.669603,1.491325,0.2267541
120,vP680qA,0.1827586,0.869281,1.937971,3.278217,6.731385,4.043147,2.700878,1.071827,5.824303,5.608541,6.184805,5.780755,3.712379,1.50901,0.2300277
121,vU_P680,86.97967,147.2571,167.2894,169.6397,173.4694,170.9825,169.7834,168.2212,172.851,172.5739,173.0739,172.3882,169.9436,164.5261,98.7336
