,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12
0,vc,15.91245,28.21064,31.89424,32.54234,32.72056,31.15833,27.6183,31.21717,26.80794,26.76038,16.36127,7.646043
1,vo,3.891631,6.89934,7.800221,7.958726,8.00231,7.620243,6.754476,7.634633,6.556289,6.544658,4.001396,1.869956
2,v2,37.65235,66.74847,75.47009,77.00606,77.42853,73.72683,65.34671,73.8662,63.42944,63.31659,38.71417,18.09406
3,v3,37.65235,66.74847,75.47009,77.00606,77.42853,73.72683,65.34665,73.8662,63.42925,63.31659,38.71417,18.09406
4,v5,6.741841,12.3791,14.59332,15.1035,15.25677,14.08544,12.07342,14.12444,11.66567,11.64356,6.935967,3.209682
5,v6,6.741841,12.3791,14.59332,15.1035,15.25677,14.08544,12.07342,14.12444,11.66567,11.64356,6.935967,3.209682
6,v7,6.601358,11.70333,13.23149,13.50036,13.57429,12.92619,11.45759,12.9506,11.12121,11.10168,6.787554,3.172
7,v8,6.601359,11.70333,13.23149,13.50036,13.57429,12.92619,11.45758,12.9506,11.12103,11.10168,6.787554,3.172
8,v9,6.601359,11.70333,13.23149,13.50036,13.57429,12.92619,11.45758,12.9506,11.1211,11.10168,6.787554,3.172
9,v10,6.601359,11.70333,13.23149,13.50036,13.57429,12.92619,11.45758,12.9506,11.12107,11.10168,6.787554,3.172
10,v13,19.80408,35.10998,39.69446,40.50107,40.72286,38.77857,34.37275,38.8518,33.36364,33.30504,20.36266,9.516
11,v23,0.1548698,0.6897613,1.375747,1.617105,1.696466,1.173135,0.6298881,1.187723,0.5595757,0.5559444,0.1627949,0.05193135
12,v24,0.1548698,0.6897615,1.375747,1.617105,1.696466,1.173135,0.6298902,1.187723,0.5595313,0.5559444,0.1627949,0.05193135
13,v25,0.01438579,0.01399097,0.0139136,0.01395932,0.0139845,0.01388613,0.01401899,0.01388653,0.01405663,0.0140623,0.01438233,0.01425026
14,v112,3.891631,6.89934,7.800221,7.958726,8.00231,7.620243,6.754477,7.634633,6.556356,6.544658,4.001396,1.869956
