,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
108,v2_00_2,32.99022,60.48016,60.51228,55.63149,55.10674,57.0648,56.49796,57.12777,56.10535,60.71429,52.19107,55.79245,57.98179,54.47831,38.98719
109,v2_01_2,67.99202,142.7841,126.083,110.0379,108.9205,113.3498,112.1144,113.7317,111.1618,126.8121,103.1278,110.4155,116.2621,107.2176,83.40488
110,v2_02_2,1256.307,3865.13,2808.944,1359.022,1230.5,1609.479,1543.747,1710.46,1453.71,2986.849,772.8064,1392.741,1975.925,1142.837,1760.121
111,vr2_00_1,0.0004871604,0.001533338,0.001780118,0.001734053,0.001730525,0.001781396,0.001755401,0.001764626,0.001746846,0.001807668,0.001661278,0.001737602,0.001764768,0.001704562,0.0006560875
112,vr2_01_1,0.0005250013,0.00229448,0.001837435,0.001416792,0.001390873,0.001488616,0.001456974,0.001494358,0.001437422,0.001844587,0.001288348,0.001423868,0.001562064,0.001379416,0.0007875327
113,vr2_02_1,0.02019733,0.1108203,0.08780024,0.04203992,0.03794721,0.05043058,0.04799445,0.05332462,0.04509667,0.0939311,0.02313978,0.04311942,0.06164586,0.03524328,0.03281353
114,vr2_1,0.02120949,0.1146481,0.09141779,0.04519077,0.0410686,0.0537006,0.05120682,0.0565836,0.04828094,0.09758335,0.02608941,0.04628089,0.06497269,0.03832726,0.03425715
115,vr2_00_2,31.13422,54.37855,58.24478,58.16487,58.33502,58.77372,58.41334,58.43269,58.33384,58.71366,58.14983,58.20139,58.23011,57.63893,36.01833
116,vr2_01_2,33.55262,81.37185,60.12016,47.52309,46.88555,49.11401,48.48277,49.48321,48.00101,59.91281,45.09613,47.69279,51.54171,46.64429,43.2345
117,vr2_02_2,1290.803,3930.149,2872.79,1410.134,1279.179,1663.859,1597.08,1765.757,1505.949,3050.914,809.9634,1444.295,2034.061,1191.734,1801.419
118,vr2_2,1355.49,4065.899,2991.155,1515.822,1384.4,1771.747,1703.976,1873.673,1612.284,3169.54,913.2094,1550.189,2143.832,1296.018,1880.672
119,vP680qU,0.218659,0.3230916,1.0762,3.645349,5.181897,4.057306,4.23071,3.680365,4.129681,2.029765,7.401659,3.708783,2.225491,2.144637,0.2212199
120,vP680qA,0.2217419,0.326929,1.087987,3.690201,5.251416,4.111256,4.287219,3.728554,4.183373,2.055066,7.499882,3.754883,2.251553,2.169121,0.2242327
121,vU_P680,76.56758,132.2379,144.7296,148.2747,150.3503,150.0956,149.4109,148.803,149.1532,147.0314,152.3729,148.4154,146.5977,145.4515,88.19576
122,vP680_d,0.218659,0.3230814,1.0762,3.645349,5.181894,4.057306,4.23071,3.680365,4.129681,2.029762,7.401654,3.708783,2.225491,2.144637,0.2212197
123,vP680_f,-2.625987e-05,-0.01131376,-1.103529e-08,-0.000409013,2.001613e-06,8.333981e-09,8.693331e-08,-1.212008e-07,-5.55298e-11,1.303497e-05,-0.00714516,9.237046e-07,-2.478389e-07,2.976411e-05,1.055621e-09
124,Vva,0.0,0.0,0.02428021,0.02334127,0.02098651,0.02092777,0.02082529,0.02121882,0.02162226,0.02174588,0.02186697,0.02299207,0.02433321,0.02155231,0.0
125,Vaz,0.0,0.0,0.03750486,0.07377251,0.08562986,0.08587151,0.08628887,0.08465567,0.08288718,0.08232404,0.08176134,0.0759046,0.06613102,0.02366677,0.0
126,Vza,2.248275e-11,2.303131e-11,0.03750486,0.07377246,0.08562985,0.08587151,0.08628883,0.08465565,0.08288718,0.08232399,0.08176137,0.07590458,0.06613109,0.0236666,2.312983e-11
127,Vav,4.589501e-10,4.74664e-10,0.0242802,0.02334121,0.02098651,0.02092776,0.02082526,0.02121881,0.02162225,0.02174584,0.02186699,0.02299205,0.02433329,0.02155208,4.694143e-10
128,Vvf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Vv2ABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,VABAdg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,ve2GAPDH,1.078861e-12,-1.872963e-10,5.936718e-13,-2.385356e-11,1.723594e-12,6.64507e-15,-3.714578e-12,-7.484928e-13,-5.200694e-15,-2.459647e-11,-2.243571e-11,-1.62264e-12,-3.80784e-13,8.131556e-12,5.25678e-13
132,ve2FBPase,-1.082287e-13,-1.8264e-11,-1.79372e-13,-6.547609e-12,1.773387e-13,5.082478e-14,-2.909849e-12,-8.568655e-14,4.470157e-16,-1.931211e-12,-2.294637e-12,-2.496162e-13,3.326397e-12,1.107149e-12,-6.735895e-13
133,ve2SBPase,1.527471e-13,-8.563369e-11,-7.45539e-13,-2.411723e-11,7.899567e-13,2.306269e-14,-8.50415e-12,-7.894316e-13,-2.067689e-13,-1.007158e-11,-1.05232e-11,-1.463039e-12,1.314284e-11,4.349812e-12,-2.405829e-12
134,ve2PRK,1.053513e-12,-1.821747e-10,4.680677e-13,-2.3381e-11,1.691434e-12,6.53368e-15,-1.399191e-12,-3.322909e-13,-7.596254e-16,-2.415937e-11,-2.195539e-11,-1.32343e-12,-2.046442e-13,7.99148e-12,5.154184e-13
135,ve2ATPase,1.185273e-13,-2.04907e-11,5.252677e-14,-2.630011e-12,1.902624e-13,7.349284e-16,-1.568883e-13,-3.729786e-14,-8.539508e-17,-2.717511e-12,-2.469669e-12,-1.487936e-13,-2.288085e-14,8.989217e-13,5.798512e-14
136,ve2ATPGPP,1.109305e-12,-1.828809e-10,-3.411377e-13,-2.292259e-11,1.661045e-12,6.386079e-15,-6.748576e-12,-1.400634e-12,-1.373572e-13,-2.359808e-11,-2.179276e-11,-2.243698e-12,6.734963e-12,7.791911e-12,4.470802e-13
137,ve2MDH,4.074079e-15,-7.036599e-13,-1.043274e-16,-9.080025e-14,6.573165e-15,2.539744e-17,-3.136326e-15,-9.485414e-16,-2.6834e-18,-9.402586e-14,-8.514725e-14,-4.159054e-15,-2.705084e-16,3.106963e-14,2.005151e-15
138,ve2Fd,7.127591,11.26412,13.65733,14.576,14.72517,14.60893,14.61209,14.5319,14.61441,13.89258,14.85014,14.57767,14.26224,14.46174,8.132783
139,veFd2Thio,4.497201e-12,-4.263564e-10,-2.442528e-13,-1.26616e-10,7.946128e-12,1.00801e-13,-2.480107e-11,-3.750785e-12,-3.647647e-13,-1.117057e-10,-1.012841e-10,-8.195713e-12,2.325853e-11,3.834071e-11,-1.016888e-12
140,veFd2Calvin,0.6728781,1.941104,1.831691,1.484043,1.42759,1.471579,1.470387,1.50073,1.469507,1.742669,1.3803,1.483411,1.602776,1.527282,0.8453689
141,ve2RuACT,1.178444e-13,-1.944269e-11,-3.538051e-14,-2.436756e-12,1.766031e-13,6.789573e-16,-7.15892e-13,-1.485462e-13,-1.442504e-14,-2.509028e-12,-2.316853e-12,-2.379672e-13,7.062139e-13,8.284905e-13,4.805351e-14
