,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12
0,vc,15.89385,28.1977,31.8532,32.54762,32.71772,31.1686,27.85007,31.13425,32.37618,26.73908,16.37355,7.647989
1,vo,3.887084,6.896176,7.790186,7.960015,8.001617,7.622755,6.811159,7.614355,7.918087,6.539449,4.004401,1.870432
2,v2,37.60836,66.71785,75.37286,77.01856,77.42182,73.75115,65.89517,73.66981,76.61219,63.2662,38.74323,18.09866
3,v3,37.60836,66.71785,75.37286,77.01856,77.42182,73.75115,65.89517,73.66981,76.61218,63.2662,38.74323,18.09866
4,v5,6.733809,12.37229,14.56329,15.10786,15.2545,14.09198,12.19207,14.06968,14.96594,11.63302,6.941294,3.210492
5,v6,6.733809,12.37229,14.56329,15.10786,15.2545,14.09198,12.19207,14.06968,14.96594,11.63302,6.941295,3.210491
6,v7,6.593646,11.69796,13.21446,13.50254,13.57311,12.93045,11.55374,12.9162,13.43142,11.09284,6.792652,3.172809
7,v8,6.593646,11.69796,13.21446,13.50254,13.57311,12.93045,11.55374,12.9162,13.43142,11.09284,6.792651,3.172806
8,v9,6.593646,11.69796,13.21446,13.50254,13.57311,12.93045,11.55374,12.9162,13.43142,11.09284,6.792652,3.172806
9,v10,6.593646,11.69796,13.21446,13.50254,13.57311,12.93045,11.55374,12.9162,13.43142,11.09284,6.792651,3.172806
10,v13,19.78094,35.09387,39.64339,40.50763,40.71934,38.79136,34.66123,38.74861,40.29427,33.27853,20.37796,9.518421
11,v23,0.1545477,0.6883275,1.362743,1.619278,1.695368,1.175409,0.6523326,1.167367,1.548456,0.5542358,0.1630198,0.051929
12,v24,0.1545476,0.6883274,1.362743,1.619278,1.695368,1.175409,0.6523326,1.167367,1.548456,0.5542358,0.1630207,0.05192892
13,v25,0.01438594,0.01399137,0.01391152,0.01396012,0.01398411,0.013886,0.01400904,0.01388522,0.01394222,0.01406323,0.01438231,0.01425025
14,v112,3.887084,6.896176,7.790186,7.960015,8.001617,7.622755,6.811159,7.614355,7.918087,6.539449,4.004402,1.870432
15,v113,1.943542,3.448089,3.895093,3.980008,4.000808,3.811375,3.405579,3.807177,3.959043,3.269724,2.002199,0.9352144
16,v121,3.887084,6.896176,7.790186,7.960015,8.001617,7.622754,6.811159,7.614355,7.918087,6.539449,4.004401,1.870432
17,v122,1.943542,3.448089,3.895093,3.980008,4.000808,3.811375,3.405579,3.807177,3.959043,3.269724,2.002199,0.9352145
18,v123,1.943542,3.448089,3.895093,3.980008,4.000808,3.811375,3.405579,3.807177,3.959043,3.269724,2.002199,0.9352145
19,v124,1.943542,3.448087,3.895093,3.980008,4.000808,3.811379,3.40558,3.807177,3.959044,3.269725,2.002202,0.9352175
20,v131,1.943542,3.448088,3.895093,3.980008,4.000808,3.811377,3.405579,3.807177,3.959043,3.269724,2.0022,0.9352158
21,vlin,1.943542,3.448089,3.895093,3.980008,4.000808,3.811375,3.405579,3.807177,3.959043,3.269724,2.002199,0.9352145
22,v2out,3.887084,6.896176,7.790186,7.960015,8.001617,7.622754,6.811159,7.614355,7.918087,6.539449,4.004401,1.870432
23,v51,2.179899,3.439697,3.301444,3.147598,3.096741,3.387909,3.424902,3.390919,3.193019,3.360811,2.241337,1.079619
24,v52,2.179898,3.439697,3.301444,3.147598,3.096742,3.387908,3.424902,3.390919,3.193018,3.360811,2.241338,1.079617
25,v55,1.089912,1.719841,1.650722,1.573799,1.548374,1.693957,1.712452,1.69546,1.596508,1.680405,1.120508,0.5397382
26,v56,1.089949,1.719848,1.650722,1.573799,1.548372,1.693954,1.712451,1.69546,1.596509,1.680406,1.12067,0.5398104
27,v57,1.089949,1.719848,1.650722,1.573799,1.548372,1.693954,1.712451,1.69546,1.596509,1.680406,1.12067,0.5398103
28,v58,0.06641767,0.06100258,0.06148344,0.06204844,0.06224249,0.06117955,0.061053,0.06116946,0.06187801,0.061274,0.06609338,0.07372842
29,v59,0.06641778,0.06100274,0.06148344,0.06204844,0.06224233,0.06117994,0.06105295,0.06116945,0.06187836,0.0612739,0.06609293,0.0737254
30,v60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,v62,1.089949,1.719848,1.650722,1.573799,1.548372,1.693954,1.712451,1.69546,1.596509,1.680406,1.120669,0.5398098
32,vdhap_in,19.95301,17.49961,17.76838,18.06437,18.16173,17.60068,17.52851,17.5948,17.97726,17.65335,19.82669,22.76506
33,vgap_in,19.95301,17.49961,17.76838,18.06437,18.16173,17.60068,17.52851,17.5948,17.97726,17.65335,19.82669,22.76506
34,vpga_in,19.95301,17.49961,17.76838,18.06437,18.16173,17.60068,17.52851,17.5948,17.97726,17.65335,19.82669,22.76506
35,vpga_use,0.009975862,0.02181113,0.01882057,0.01670393,0.01605531,0.02017151,0.02170749,0.02022282,0.01730258,0.02113803,0.01047155,0.002961321
36,Vbf1,100.9972,180.1413,204.8658,209.8638,211.1192,200.0922,177.8562,199.8558,208.6123,170.5928,104.054,48.54863
37,Vbf2,100.9972,180.1413,204.8658,209.8638,211.1192,200.0922,177.8562,199.8558,208.6123,170.5928,104.054,48.54863
38,Vbf3,100.9972,180.1413,204.8658,209.8638,211.1192,200.0922,177.8562,199.8558,208.6123,170.5928,104.054,48.54863
39,Vbf4,100.9972,180.1413,204.8658,209.8638,211.1192,200.0922,177.8562,199.8558,208.6123,170.5928,104.054,48.54863
40,Vbf5,37.60836,66.71787,75.37286,77.01856,77.42181,73.75156,65.89518,73.66981,76.61218,63.2663,38.74331,18.09916
41,Vbf6,63.38889,113.4234,129.4929,132.8452,133.6974,126.342,111.961,126.186,132.0001,107.3267,65.31072,30.44942
42,Vbf7,63.38897,113.4234,129.4929,132.8452,133.6974,126.3415,111.961,126.186,131.9996,107.3273,65.31098,30.4494
43,Vbf8,100.9972,180.1413,204.8658,209.8638,211.1192,200.0922,177.8562,199.8558,208.6123,170.5928,104.054,48.54863
44,Vbf9,100.9968,180.1416,204.8658,209.8638,211.1192,200.092,177.8562,199.8558,208.6123,170.5928,104.056,48.54864
45,Vbf10,100.9948,180.1424,204.8658,209.8638,211.1192,200.0946,177.8562,199.8558,208.6136,170.5942,104.035,48.54842
