,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12
88,v1z,14.60796,26.45646,31.86673,33.02331,33.26905,32.83268,31.23358,32.87965,33.17055,28.93513,18.05641,8.522975
89,v2z,14.60796,26.45646,31.86673,33.02331,33.26905,32.83268,31.23358,32.87965,33.17055,28.93513,18.05641,8.522975
90,v3z,14.60796,26.45646,31.86673,33.02331,33.26905,32.83268,31.23358,32.87965,33.17055,28.93513,18.05641,8.522975
91,v0z,14.60796,26.45646,31.86673,33.02331,33.26905,32.83268,31.23358,32.87965,33.17055,28.93513,18.05641,8.522975
92,vAB1,30.06391,53.62856,65.00197,66.70132,67.14669,66.71839,63.05258,66.72748,66.89343,58.6566,37.07342,30.75689
93,vBA1,0.8479959,0.7156342,1.268514,0.6547055,0.6085933,1.053023,0.5854146,0.9681656,0.5523279,0.7863284,0.9605906,13.71083
94,vAB2,54.73812,68.46749,102.365,79.67477,78.99694,95.60364,72.98332,91.99395,76.60012,75.59057,64.71466,356.2556
95,vBA2,25.52221,15.55457,38.63155,13.62815,12.45884,29.93827,10.51616,26.23464,10.25902,17.7203,28.60183,339.2096
96,v3,3.643516,3.921889,6.087742,3.77118,3.54557,5.384229,3.443015,5.074849,3.279954,4.286694,4.257898,6.826541
97,v_r3,0.1047136,0.09159795,0.1591804,0.08227433,0.07615719,0.1337358,0.07250683,0.123308,0.06818255,0.1004493,0.1195802,0.5742257
98,v3_n,26.34872,50.19198,59.22165,63.70162,64.41359,61.84412,60.33542,62.22404,64.44257,54.90004,32.79748,11.57172
99,v_r3_n,0.6716049,1.109351,1.416759,1.343904,1.344901,1.429247,1.238769,1.416267,1.313239,1.216019,0.8229742,0.7779724
100,v_pq_ox,2792.405,2585.727,2724.455,2518.511,2503.662,2677.761,2455.825,2653.081,2453.976,2591.394,2774.812,3161.781
101,Ic,16.43449,32.02257,42.53218,49.44454,53.74714,47.39905,40.98043,47.89279,51.49004,36.04303,20.66655,9.381062
102,Ia,75.06565,146.2653,194.2686,225.8413,245.4937,216.4984,187.1809,218.7536,235.1842,164.629,94.39586,42.84863
103,v2_1,57.33265,102.6462,124.5318,127.0831,127.686,127.8206,120.0228,127.7874,126.9179,112.2853,70.80753,33.90242
104,v2_2,1534.861,1680.085,3123.389,1948.244,1917.7,2865.781,1573.845,2686.176,1718.176,1911.73,1832.782,4840.649
105,v2_00_1,0.993469,2.690773,2.221123,3.493409,3.569897,2.503134,3.812958,2.648991,3.90196,2.835453,1.257135,0.2146145
106,v2_01_1,2.246588,5.435821,4.822341,7.001237,7.142455,5.277718,7.560386,5.518099,7.756698,5.751921,2.802169,1.620213
107,v2_02_1,54.0926,94.51961,117.4883,116.5885,116.9736,120.0398,108.6495,119.6203,115.2592,103.6979,66.74823,32.0676
108,v2_00_2,26.59631,44.04185,55.70812,53.55559,53.61585,56.1211,49.99885,55.68356,52.82357,48.27543,32.53968,30.64305
109,v2_01_2,60.14373,88.97205,120.9494,107.3322,107.2717,118.3282,99.13842,115.9941,105.0079,97.93019,72.53134,231.3369
110,v2_02_2,1448.121,1547.071,2946.732,1787.356,1756.813,2691.332,1424.708,2514.498,1560.345,1765.524,1727.711,4578.67
111,vr2_00_1,0.0002860007,0.0009419156,0.001404709,0.001475908,0.001493806,0.001483797,0.001311468,0.001483858,0.001478893,0.001134332,0.000439423,0.0001702517
112,vr2_01_1,0.0003944915,0.0009110167,0.001675859,0.001335586,0.001331392,0.001610755,0.001150017,0.001549791,0.001282947,0.001107432,0.0005810973,0.001493953
113,vr2_02_1,0.01755815,0.03496333,0.08121315,0.0509372,0.05035455,0.07647697,0.03833059,0.07153158,0.04456197,0.04388788,0.02611315,0.03182838
