,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13
43,Vbf8,46.95378,83.735,142.7392,208.5702,218.1806,218.3298,218.3319,218.3793,94.31244,218.4455,218.0284,173.8347,69.34221
44,Vbf9,46.95378,83.735,142.7392,208.5702,218.1806,218.3293,218.3319,218.4963,93.82225,218.4455,218.0284,173.8347,69.34221
45,Vbf10,46.95425,83.735,142.7392,208.57,218.1807,218.3208,218.3312,218.5642,94.05086,218.4453,218.0285,173.8348,69.34223
46,Vbf11,28.03958,49.86958,84.85838,123.6153,129.2012,129.3124,129.3222,129.3564,56.90184,129.43,129.1024,103.2488,41.3263
47,Vqi,57.15066,102.5478,175.5169,258.2334,270.6451,270.7233,270.6864,270.7165,112.0906,270.638,270.4966,214.1995,84.78827
48,Vipc,5639.87,10064.98,17182.75,25187.46,26503.99,26410.71,26457.99,26422.45,52558.51,26441.54,26374.15,20949.75,8332.52
49,Vicp,5638.717,10062.86,17178.95,25180.9,26494.68,26400.65,26447.67,26411.87,52547.39,26429.9,26365.22,20944.94,8330.785
50,Vinc,21.96546,40.35514,72.36681,124.9817,177.4264,191.8998,196.8377,201.7757,211.6516,222.0384,170.2749,91.60787,33.03332
51,Vinp,24.27761,44.60305,79.98437,138.1377,196.1029,212.0997,217.5575,223.0153,233.9308,245.4109,188.1985,101.2508,36.51051
52,Vdp,19.57078,36.14263,65.35889,115.7088,170.0999,185.3995,190.5695,195.7919,189.7025,217.1179,162.6513,83.24207,29.52605
53,Vdc,19.56678,36.13502,65.34443,115.6786,170.0402,185.3289,190.4952,195.7135,189.6624,217.0224,162.5963,83.22296,29.5199
54,Vfp,3.553118,6.34094,10.82513,15.8681,16.69751,16.63875,16.66854,16.64614,33.11186,16.65817,16.61572,13.19834,5.249488
55,Vfc,3.552392,6.339605,10.82274,15.86397,16.69165,16.63241,16.66203,16.63948,33.10486,16.65084,16.61009,13.19531,5.248395
56,Vsfd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,VsATP,1.398299,1.456333,1.523884,1.886882,2.158088,2.161397,2.161679,2.161968,1.469258,2.162118,2.153357,1.591462,1.43734
58,VgPQH2,77.13284,240.9406,1240.966,664.174,4381.078,826.1529,200.2686,747.8195,43.30393,985.641,325.3024,941.2353,198.5036
59,Vbf12,-1.080857e-07,-2.291874e-09,1.448317e-10,-1.455462e-07,1.666039e-08,-7.483426e-07,-5.879268e-07,2.150324e-07,1.883571e-05,-4.871294e-08,-3.41585e-08,-1.414542e-08,6.314314e-09
60,Vbf13,-2.87681e-08,-6.169041e-10,3.830326e-11,-4.053315e-08,5.265483e-09,-2.426819e-07,-1.940843e-07,6.741336e-08,5.020893e-06,-1.726284e-08,-1.059913e-08,-3.919325e-09,1.67474e-09
61,Vbf14,1.0088e-08,2.399774e-10,-7.596152e-12,9.048867e-09,-1.658655e-09,6.809901e-08,5.878159e-08,-1.867106e-08,-1.876917e-06,5.064395e-09,3.433064e-09,7.996374e-11,-4.891578e-10
62,Vbf15,46.95378,83.735,142.7392,208.5702,218.1806,218.3298,218.3319,218.3793,94.31127,218.4455,218.0284,173.8347,69.34221
63,Vbf16,46.95378,83.735,142.7392,208.5702,218.1806,218.3298,218.3319,218.3793,94.31261,218.4455,218.0284,173.8347,69.34221
64,vbfn2,18.37845,32.46112,54.9808,79.4535,82.8581,82.96812,82.98875,83.02105,38.26833,83.12646,82.78013,66.735,26.94808
65,VsNADPH,0.5818177,0.5764497,0.5933796,0.7961059,0.6983744,0.7748167,1.127958,0.7812848,1.420365,0.7437706,0.9528155,0.6744818,0.5451013
66,vA_d,7.993518,14.80242,27.93764,64.61771,114.6646,137.8561,150.0034,149.627,206.3078,171.8858,116.1625,38.4891,11.87897
67,vA_f,0.2902482,0.5193936,0.92544,1.772312,2.251164,2.47439,2.624068,2.544244,7.202049,2.637556,2.373326,1.220518,0.4223965
68,vA_U,2303.557,4122.172,7344.762,14065.97,17866.38,19638.02,20825.93,20192.42,57159.12,20932.98,18835.92,9686.654,3352.353
69,vU_A,2270.281,4061.139,7236.702,13895.89,17647.59,19415.26,20606.13,19962.82,56972.17,20687.4,18632.28,9553.036,3302.153
70,vU_f,0.2860554,0.5117035,0.9118245,1.750882,2.223597,2.446323,2.596373,2.515315,7.178493,2.606612,2.347668,1.203683,0.4160713
71,vU_d,5.315672,12.22448,26.3187,60.12732,112.4193,131.1067,131.98,141.9156,190.5963,164.6427,105.2981,35.99999,9.511024
72,v1,76.30989,223.7757,1149.576,1298.237,7838.687,1972.831,778.9085,1862.311,511.6226,2386.717,985.5546,1210.083,165.9055
73,v_r1,39.55304,158.8535,1039.615,1139.33,7672.971,1806.892,612.931,1696.269,435.0916,2220.462,819.9943,1076.613,112.0093
74,vS1_S2,9.189229,16.23056,27.4904,39.72674,41.42905,41.48404,41.49439,41.51052,19.13415,41.56323,41.39006,33.3675,13.47404
75,vS2_S3,9.189229,16.23056,27.4904,39.72674,41.42905,41.48404,41.49439,41.51052,19.13415,41.56323,41.39006,33.3675,13.47404
76,vS3_S0,9.189229,16.23056,27.4904,39.72674,41.42905,41.48404,41.49439,41.51052,19.13415,41.56323,41.39006,33.3675,13.47404
77,vS0_S1,9.189229,16.23056,27.4904,39.72674,41.42905,41.48404,41.49439,41.51052,19.13415,41.56323,41.39006,33.3675,13.47404
78,vz_1,0.2742191,0.949581,5.546246,5.939419,38.46186,9.245617,3.300359,8.694288,2.421119,11.30304,4.331918,5.684393,0.6873596
