,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14
0,vc,8.875888,17.59519,31.31885,33.20906,33.30024,33.36448,33.38556,33.40256,33.38893,33.36259,33.27398,32.92315,25.98227,10.8949
1,vo,2.170733,4.303172,7.659502,8.121782,8.14408,8.15979,8.164946,8.169104,8.16577,8.15933,8.137659,8.051856,6.35436,2.664513
2,v2,21.00408,41.63338,74.10705,78.58663,78.80241,78.9544,79.00428,79.0445,79.01224,78.94994,78.74029,77.90884,61.47549,25.78122
3,v3,21.00408,41.63338,74.10705,78.58663,78.80241,78.9544,79.00428,79.0445,79.01224,78.94994,78.74029,77.90884,61.47549,25.78125
4,v5,3.731465,7.471652,14.19255,15.68762,15.7362,15.7662,15.77603,15.78395,15.77758,15.76528,15.72374,15.43672,11.264,4.590293
5,v6,3.731465,7.471652,14.19255,15.68762,15.7362,15.7662,15.77603,15.78395,15.77758,15.76528,15.72374,15.43672,11.264,4.590293
6,v7,3.682207,7.299457,12.99279,13.77695,13.81477,13.84142,13.85017,13.85722,13.85157,13.84064,13.80388,13.65833,10.77888,4.519802
7,v8,3.682207,7.299456,12.99278,13.77695,13.81477,13.84142,13.85017,13.85722,13.85157,13.84064,13.80388,13.65833,10.77888,4.519803
8,v9,3.682207,7.299456,12.99278,13.77695,13.81477,13.84142,13.85017,13.85722,13.85157,13.84064,13.80388,13.65833,10.77888,4.519803
9,v10,3.682207,7.299456,12.99278,13.77695,13.81477,13.84142,13.85017,13.85722,13.85157,13.84064,13.80388,13.65833,10.77888,4.519804
10,v13,11.04662,21.89837,38.97836,41.33084,41.44432,41.52427,41.5505,41.57166,41.5547,41.52192,41.41164,40.975,32.33663,13.55941
11,v23,0.06355954,0.1865607,1.213652,1.924814,1.935653,1.939063,1.940173,1.941057,1.94033,1.93893,1.934054,1.792419,0.4992196,0.08484999
12,v24,0.06355954,0.1865607,1.213652,1.924814,1.935653,1.939063,1.940173,1.941057,1.94033,1.93893,1.934054,1.792419,0.4992196,0.08485001
13,v25,0.01430164,0.01436834,0.01388766,0.01414082,0.01422489,0.01429018,0.01431157,0.01432777,0.01431447,0.01428702,0.01419908,0.01402896,0.0141003,0.01435643
14,v112,2.170733,4.303172,7.659502,8.121782,8.14408,8.15979,8.164946,8.169104,8.16577,8.15933,8.137659,8.051856,6.35436,2.664513
15,v113,1.085367,2.151585,3.829752,4.060891,4.07204,4.079895,4.082473,4.084552,4.082885,4.079665,4.06883,4.025928,3.17718,1.332257
16,v121,2.170733,4.303172,7.659502,8.121782,8.14408,8.15979,8.164946,8.169104,8.16577,8.15933,8.137659,8.051856,6.35436,2.664513
17,v122,1.085367,2.151585,3.829752,4.060891,4.07204,4.079895,4.082473,4.084552,4.082885,4.079665,4.06883,4.025928,3.17718,1.332257
18,v123,1.085367,2.151585,3.829752,4.060891,4.07204,4.079895,4.082473,4.084552,4.082885,4.079665,4.06883,4.025928,3.17718,1.332257
19,v124,1.085367,2.151587,3.829751,4.060891,4.07204,4.079895,4.082473,4.084552,4.082885,4.079665,4.06883,4.025928,3.17718,1.332256
20,v131,1.085367,2.151586,3.829751,4.060891,4.07204,4.079895,4.082473,4.084552,4.082885,4.079665,4.06883,4.025928,3.17718,1.332257
21,vlin,1.085367,2.151585,3.829752,4.060891,4.07204,4.079895,4.082473,4.084552,4.082885,4.079665,4.06883,4.025928,3.17718,1.332257
22,v2out,2.170733,4.303172,7.659502,8.121782,8.14408,8.15979,8.164946,8.169104,8.16577,8.15933,8.137659,8.051856,6.35436,2.664513
23,v51,1.247265,2.395849,3.371802,2.940269,2.942845,2.94887,2.950857,2.952469,2.951194,2.948725,2.940588,3.030195,3.305431,1.520619
24,v52,1.247264,2.39585,3.371802,2.940269,2.942845,2.94887,2.950857,2.952469,2.951194,2.948725,2.940588,3.030195,3.305431,1.520619
25,v55,0.6236324,1.197927,1.685901,1.470135,1.471423,1.474435,1.475428,1.476234,1.475597,1.474363,1.470294,1.515097,1.652715,0.7603066
26,v56,0.6236323,1.197925,1.685901,1.470135,1.471423,1.474435,1.475428,1.476234,1.475597,1.474363,1.470294,1.515098,1.652715,0.7603091
27,v57,0.6236323,1.197925,1.685901,1.470135,1.471423,1.474435,1.475428,1.476234,1.475597,1.474363,1.470294,1.515098,1.652715,0.7603091
