,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
0,vc,16.56554,29.09963,33.08021,33.27682,33.34227,33.36897,33.39274,33.38869,33.38725,33.37748,33.36792,33.32056,33.25935,32.64259,17.64714
1,vo,4.051355,7.116757,8.090269,8.138352,8.154359,8.160888,8.166704,8.165712,8.165361,8.162969,8.160632,8.14905,8.134081,7.983243,4.315877
2,v2,39.19744,68.85253,78.28125,78.74699,78.90185,78.96502,79.02128,79.01169,79.00828,78.98515,78.96254,78.85048,78.70567,77.24368,41.75628
3,v3,39.19744,68.85253,78.28125,78.74699,78.90185,78.96502,79.02128,79.01169,79.00828,78.98515,78.96254,78.85048,78.70567,77.24368,41.75628
4,v5,7.024458,12.8551,15.5807,15.72511,15.75582,15.76825,15.77933,15.77745,15.77681,15.77224,15.76775,15.74474,15.71654,15.18696,7.494275
5,v6,7.024458,12.8551,15.5807,15.72511,15.75582,15.76825,15.77933,15.77745,15.77681,15.77224,15.76775,15.74474,15.71654,15.18696,7.494275
6,v7,6.872298,12.07213,13.72349,13.80506,13.83221,13.84328,13.85315,13.85147,13.85087,13.84681,13.84285,13.8232,13.79781,13.54194,7.321007
7,v8,6.872298,12.07213,13.72349,13.80506,13.83221,13.84328,13.85315,13.85147,13.85087,13.84681,13.84285,13.8232,13.79781,13.54194,7.321007
8,v9,6.872305,12.07213,13.72349,13.80506,13.83221,13.84328,13.85315,13.85147,13.85087,13.84681,13.84285,13.8232,13.79781,13.54194,7.321007
9,v10,6.872298,12.07213,13.72349,13.80506,13.83221,13.84328,13.85315,13.85147,13.85087,13.84681,13.84285,13.8232,13.79781,13.54194,7.321007
10,v13,20.6169,36.21639,41.17048,41.41517,41.49662,41.52985,41.55945,41.5544,41.55261,41.54044,41.52855,41.46961,41.39344,40.62583,21.96302
