,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13
129,Vv2ABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,VABAdg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,ve2GAPDH,-1.177373e-10,-1.094463e-12,-4.202878e-11,1.249112e-13,1.309439e-11,1.285017e-12,5.47612e-12,2.692691e-14,8.447883e-13,-1.657212e-12,2.238916e-13,-2.859304e-13,-1.212597e-11
132,ve2FBPase,-1.258442e-11,-1.07435e-12,-3.638543e-12,4.604687e-14,2.588604e-12,6.375279e-13,1.20857e-12,1.283421e-12,4.642915e-13,-8.784598e-14,2.575024e-14,-4.349814e-14,-1.550342e-12
133,ve2SBPase,-5.57073e-11,-2.618227e-12,-1.827125e-11,2.135337e-14,1.080967e-11,2.15967e-12,5.009742e-12,4.811606e-12,1.461354e-12,-8.209496e-13,1.128023e-13,-3.370775e-13,-6.469256e-12
134,ve2PRK,-1.170968e-10,-1.080572e-12,-4.128799e-11,1.42529e-13,1.102659e-11,1.190622e-12,3.952242e-12,2.107062e-14,7.901647e-13,-1.547203e-12,2.178357e-13,-2.103916e-13,-1.16767e-11
135,ve2ATPase,-1.317624e-11,-1.215672e-13,-4.644524e-12,1.601148e-14,1.2398e-12,1.339079e-13,4.442071e-13,2.370192e-15,8.888463e-14,-1.740064e-13,2.449973e-14,-2.36481e-14,-1.313699e-12
136,ve2ATPGPP,-1.157468e-10,-1.0655e-12,-4.074911e-11,7.081349e-14,1.710881e-11,2.159843e-12,8.139122e-12,1.787548e-12,1.490613e-12,-1.725555e-12,2.189451e-13,-3.956482e-13,-1.242352e-11
137,ve2MDH,-4.541356e-13,-4.19486e-15,-1.601769e-13,6.315749e-16,3.647153e-14,4.472388e-15,1.091743e-14,7.892992e-17,3.125511e-15,-5.666176e-15,8.50394e-16,-5.507747e-16,-4.42799e-14
138,ve2Fd,3.949897,6.647801,8.083702,9.554594,13.25655,11.64025,13.4409,13.39911,12.4334,13.34321,0.5364707,7.065472,4.7778
139,veFd2Thio,-5.446735e-10,-8.146927e-12,-1.918555e-10,-1.556846e-11,6.588819e-11,8.831152e-12,2.733393e-11,8.137924e-12,6.030353e-12,-7.495655e-12,1.046775e-12,-1.537611e-12,-5.652584e-11
140,veFd2Calvin,0.5012323,0.7949943,1.143968,1.344556,1.983358,2.595009,1.913595,1.92941,2.294859,1.950563,6.731993,0.8832335,0.6080376
141,ve2RuACT,-1.230154e-11,-1.132634e-13,-4.332071e-12,7.584143e-15,1.815364e-12,2.284679e-13,8.634789e-13,1.868002e-13,1.577257e-13,-1.833823e-13,2.32756e-14,-4.196334e-14,-1.320105e-12
