,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14
0,vc,8.871387,17.57488,31.34299,33.21383,33.30405,33.36976,33.38944,33.40655,33.39157,33.36209,33.27638,32.93432,26.00127,10.93382
1,vo,2.169633,4.298205,7.665406,8.122948,8.145012,8.161082,8.165896,8.170079,8.166416,8.159206,8.138244,8.054589,6.359007,2.674031
2,v2,20.99343,41.58533,74.16423,78.59794,78.81145,78.96691,79.01348,79.05396,79.01852,78.94877,78.74597,77.93534,61.52045,25.87331
3,v3,20.99343,41.58533,74.16423,78.59794,78.81145,78.96691,79.01348,79.05396,79.01852,78.94877,78.74597,77.93534,61.52045,25.87331
4,v5,3.729559,7.462805,14.20873,15.69188,15.73972,15.77038,15.77956,15.78756,15.78059,15.76691,15.72658,15.44723,11.27317,4.606893
5,v6,3.729559,7.462805,14.20873,15.69188,15.73972,15.77038,15.77956,15.78756,15.78059,15.76691,15.72658,15.44723,11.27317,4.606893
6,v7,3.68034,7.29103,13.0028,13.77893,13.81635,13.84361,13.85178,13.85888,13.85266,13.84043,13.80487,13.66297,10.78676,4.53595
7,v8,3.68034,7.29103,13.0028,13.77893,13.81635,13.84361,13.85178,13.85888,13.85266,13.84043,13.80487,13.66297,10.78676,4.53595
8,v9,3.68034,7.29103,13.0028,13.77893,13.81635,13.84361,13.85178,13.85888,13.85266,13.84043,13.80487,13.66297,10.78676,4.53595
9,v10,3.68034,7.29103,13.0028,13.77893,13.81635,13.84361,13.85178,13.85888,13.85266,13.84043,13.80487,13.66297,10.78676,4.53595
10,v13,11.04102,21.87309,39.0084,41.33678,41.44906,41.53084,41.55534,41.57663,41.55799,41.52129,41.41462,40.98891,32.36028,13.60785
11,v23,0.06352085,0.186144,1.219813,1.927095,1.937589,1.941061,1.942098,1.94301,1.942238,1.940759,1.935903,1.798289,0.5005074,0.08529984
12,v24,0.06352085,0.186144,1.219816,1.927095,1.937589,1.941061,1.942098,1.94301,1.942238,1.940759,1.935903,1.79829,0.5005074,0.08529985
13,v25,0.0143015,0.01436866,0.0138874,0.01414298,0.01422698,0.01429226,0.01431301,0.01432998,0.01431464,0.01428291,0.01419904,0.0140318,0.01409942,0.01435733
14,v112,2.169633,4.298205,7.665406,8.122948,8.145012,8.161082,8.165896,8.170079,8.166416,8.159206,8.138244,8.05459,6.359007,2.674032
15,v113,1.084816,2.149103,3.832703,4.061474,4.072506,4.080541,4.082948,4.08504,4.083208,4.079603,4.069122,4.027294,3.179504,1.337016
16,v121,2.169633,4.298205,7.665406,8.122948,8.145012,8.161082,8.165896,8.170079,8.166416,8.159206,8.138244,8.054589,6.359007,2.674031
17,v122,1.084816,2.149103,3.832703,4.061474,4.072506,4.080541,4.082948,4.08504,4.083208,4.079603,4.069122,4.027294,3.179504,1.337016
18,v123,1.084816,2.149103,3.832703,4.061474,4.072506,4.080541,4.082948,4.08504,4.083208,4.079603,4.069122,4.027294,3.179504,1.337016
19,v124,1.084816,2.149103,3.832703,4.061474,4.072506,4.080541,4.082948,4.08504,4.083208,4.079603,4.069122,4.027295,3.179504,1.337016
20,v131,1.084816,2.149103,3.832703,4.061474,4.072506,4.080541,4.082948,4.08504,4.083208,4.079603,4.069122,4.027294,3.179504,1.337016
21,vlin,1.084816,2.149103,3.832703,4.061474,4.072506,4.080541,4.082948,4.08504,4.083208,4.079603,4.069122,4.027294,3.179504,1.337016
22,v2out,2.169633,4.298205,7.665406,8.122948,8.145012,8.161082,8.165896,8.170079,8.166416,8.159206,8.138244,8.054589,6.359007,2.674031
23,v51,1.246645,2.393317,3.369189,2.938697,2.941477,2.947655,2.949509,2.951109,2.949681,2.946829,2.939098,3.025981,3.306916,1.525837
24,v52,1.246645,2.393317,3.369189,2.938697,2.941477,2.947655,2.949509,2.951109,2.949681,2.946829,2.939098,3.025976,3.306916,1.525837
25,v55,0.6233229,1.196658,1.684595,1.469344,1.470739,1.473827,1.474754,1.475554,1.474837,1.473414,1.469549,1.513454,1.653458,0.762931
26,v56,0.6233226,1.196659,1.684594,1.469349,1.470739,1.473827,1.474754,1.475554,1.474841,1.473414,1.469549,1.512983,1.653458,0.7629184
27,v57,0.6233226,1.196659,1.684594,1.469349,1.470739,1.473827,1.474754,1.475554,1.474841,1.473414,1.469549,1.512984,1.653458,0.7629184
28,v58,0.07239687,0.06532058,0.06124478,0.0628683,0.06285696,0.06283185,0.06282432,0.06281783,0.06282362,0.0628352,0.06286665,0.06251785,0.06146392,0.07037373
29,v59,0.0723967,0.06532064,0.06124472,0.06286827,0.06285696,0.06283185,0.06282432,0.06281783,0.06282361,0.0628352,0.06286665,0.06251944,0.06146393,0.0703737
30,v60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,v62,0.6233226,1.196659,1.684594,1.469349,1.470739,1.473827,1.474754,1.475554,1.474841,1.473414,1.469549,1.512984,1.653458,0.7629184
32,vdhap_in,22.23002,19.52017,17.63707,18.46368,18.45837,18.44658,18.44304,18.43998,18.44271,18.44815,18.46292,18.29658,17.7578,21.44979
33,vgap_in,22.23002,19.52017,17.63707,18.46368,18.45837,18.44658,18.44304,18.43998,18.44271,18.44815,18.46292,18.29658,17.7578,21.44979
34,vpga_in,22.23002,19.52017,17.63707,18.46368,18.45837,18.44658,18.44304,18.43998,18.44271,18.44815,18.46292,18.29658,17.7578,21.44979
35,vpga_use,0.003792576,0.01174412,0.0198657,0.01415468,0.01416934,0.01422564,0.01424258,0.01425717,0.01424409,0.01421791,0.0141481,0.0151858,0.02060524,0.005373403
36,Vbf1,56.84969,113.5015,204.9049,218.2263,218.4595,218.5154,218.5156,218.5168,218.5077,218.4822,218.4135,216.3682,168.7565,70.25955
37,Vbf2,56.84969,113.5015,204.9049,218.2263,218.4595,218.5154,218.5156,218.5168,218.5077,218.4822,218.4135,216.3682,168.7565,70.25955
38,Vbf3,56.84969,113.5015,204.9049,218.2263,218.4595,218.5154,218.5156,218.5168,218.5077,218.4822,218.4135,216.3682,168.7565,70.25955
39,Vbf4,56.84969,113.5015,204.9049,218.2263,218.4595,218.5154,218.5156,218.5168,218.5077,218.4822,218.4135,216.3682,168.7565,70.25955
40,Vbf5,22.16943,43.84033,78.15208,82.88495,83.15345,83.35791,83.42648,83.48296,83.43452,83.3377,83.06897,82.15334,64.82546,27.30331
41,Vbf6,34.68026,69.66114,126.7498,135.3413,135.306,135.1575,135.0891,135.0339,135.0732,135.1445,135.3445,134.2149,103.931,42.95624
42,Vbf7,34.68032,69.66114,126.751,135.3413,135.306,135.1575,135.0891,135.0339,135.0732,135.1445,135.3445,134.2149,103.931,42.95624
43,Vbf8,56.84969,113.5015,204.9049,218.2263,218.4595,218.5154,218.5156,218.5168,218.5077,218.4822,218.4135,216.3682,168.7565,70.25955
44,Vbf9,56.84969,113.5015,204.91,218.2263,218.4595,218.5154,218.5156,218.5168,218.5078,218.4822,218.4135,216.3677,168.7565,70.25956
45,Vbf10,56.84973,113.5014,204.9123,218.2263,218.4595,218.5154,218.5156,218.5168,218.5076,218.4822,218.4135,216.3705,168.7565,70.25955
46,Vbf11,33.91379,67.52867,121.4842,129.2323,129.4476,129.5594,129.5889,129.6136,129.5889,129.5364,129.3916,128.1208,100.2497,41.87247
47,Vqi,69.36053,139.3223,253.5033,270.6826,270.6121,270.315,270.1782,270.0677,270.1464,270.289,270.6891,268.4297,207.862,85.91248
48,Vipc,6829.716,13652.25,24745.29,26393.85,26446.52,26498.86,26513.94,26535.13,26518.85,26526.14,26431.39,26148.58,20334.13,8442.892
49,Vicp,6828.303,13649.31,24739.02,26384.42,26434.61,26484.47,26498.68,26519.13,26503.44,26511.85,26420.37,26140.85,20329.49,8441.131
50,Vinc,26.90343,56.02043,119.533,179.8103,227.3169,274.9939,291.6808,305.8136,294.5755,272.9506,210.1192,147.2878,88.37265,33.54415
51,Vinp,29.73537,61.91732,132.1154,198.7376,251.245,303.9406,322.3841,338.0046,325.5835,301.6822,232.237,162.7917,97.67504,37.07511
52,Vdp,24.01961,50.37431,110.2506,172.6796,222.6736,272.8516,290.4171,305.289,293.4627,270.6824,204.5724,138.589,80.22396,29.99429
53,Vdc,24.01464,50.36345,110.2226,172.6179,222.5733,272.7034,290.2499,305.105,293.2922,270.5366,204.4872,138.5481,80.20565,29.98803
54,Vfp,4.302721,8.600918,15.58953,16.62812,16.6613,16.69428,16.70378,16.71713,16.70688,16.71147,16.65177,16.47361,12.8105,5.319022
55,Vfc,4.301831,8.599064,15.58558,16.62218,16.6538,16.68521,16.69417,16.70705,16.69717,16.70246,16.64484,16.46874,12.80758,5.317912
56,Vsfd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,VsATP,1.417549,1.489395,1.825858,2.159123,2.162083,2.16171,2.161596,2.161503,2.161601,2.161817,2.162105,2.092617,1.575548,1.438646
58,VgPQH2,336.477,384.7004,302.1899,604.2264,1062.499,413.1894,702.1182,523.4046,492.716,196.3616,743.1251,1358.769,539.8409,260.8948
59,Vbf12,2.524372e-08,1.067588e-08,-9.151173e-08,-1.164112e-07,-2.759782e-09,3.554669e-08,5.131436e-09,-2.155108e-09,-9.748348e-09,1.468714e-07,1.374853e-08,-6.277987e-08,1.85589e-08,-8.256413e-09
60,Vbf13,6.76488e-09,2.753645e-09,-2.511281e-08,-3.724967e-08,-9.51299e-10,1.439304e-08,2.166082e-09,-8.745289e-10,-4.298163e-09,5.816539e-08,4.713296e-09,-1.956317e-08,5.092672e-09,-2.180976e-09
61,Vbf14,-2.62013e-09,6.573054e-11,5.879077e-09,1.22656e-08,2.089313e-10,-3.635109e-09,-5.183563e-10,1.327638e-10,1.130091e-09,-1.479096e-08,-1.387708e-09,9.488731e-09,-2.024022e-09,4.505655e-10
62,Vbf15,56.84969,113.5015,204.9049,218.2263,218.4595,218.5154,218.5156,218.5168,218.5077,218.4822,218.4135,216.3682,168.7565,70.25955
63,Vbf16,56.84969,113.5015,204.9026,218.2263,218.4595,218.5154,218.5156,218.5168,218.5077,218.4822,218.4135,216.3682,168.7565,70.25955
64,vbfn2,22.16943,43.84033,78.152,82.88495,83.15345,83.35791,83.42648,83.48296,83.43452,83.3377,83.06897,82.15334,64.82546,27.30331
