,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13
116,vr2_01_2,34.59594,27.16583,41.54211,42.64389,52.95017,49.55371,53.0478,52.65992,53.62431,55.55128,48.86972,43.50455,89.47398
117,vr2_02_2,1416.908,889.4936,1711.215,1622.892,1652.025,1005.422,1731.359,1666.368,1805.853,1995.818,1727.908,1859.311,3143.824
118,vr2_2,1469.45,945.8183,1788.823,1707.693,1767.461,1118.235,1847.851,1782.458,1922.906,2114.085,1829.339,1936.788,3258.203
119,vP680qU,0.05419095,0.2751928,0.2305945,0.3577406,1.442338,4.351089,2.576288,2.691875,2.240484,1.239148,0.6090162,0.1839112,0.04336414
120,vP680qA,0.05493802,0.2790743,0.2336945,0.3624858,1.45853,4.400454,2.604859,2.721802,2.265041,1.252887,0.6167176,0.1863763,0.04392455
121,vU_P680,42.69173,72.20425,88.48664,104.079,156.4742,161.9438,160.1765,160.2999,159.7231,156.5955,130.4156,82.94041,55.20185
122,vP680_d,0.05419101,0.275193,0.2305945,0.3577372,1.442338,4.351089,2.576288,2.691875,2.240484,1.239148,0.6090162,0.1839051,0.04336409
123,vP680_f,-2.269547e-07,-3.250511e-06,-6.248266e-10,-1.82379e-05,-2.615904e-06,1.31899e-07,5.969827e-07,2.576472e-07,2.862406e-05,-4.053262e-08,5.139768e-07,-2.429476e-05,-2.292005e-07
124,Vva,0.0,0.0,0.0,0.0,0.01046294,0.02505796,0.02506853,0.02507723,0.02466145,0.01182212,0.0,0.0,0.0
125,Vaz,0.0,0.0,0.0,0.0,0.004075357,0.04865047,0.0491492,0.04965469,0.04123624,0.005323082,0.0,0.0,0.0
126,Vza,1.22577e-11,1.853739e-11,1.928991e-11,2.547814e-11,0.004075605,0.04865023,0.049149,0.04965457,0.04123603,0.005321651,1.619763e-11,2.85498e-11,1.675575e-11
127,Vav,2.634569e-10,3.786548e-10,3.966229e-10,5.156956e-10,0.01046347,0.02505768,0.02506829,0.02507708,0.02466119,0.01181935,3.439547e-10,5.659629e-10,3.514043e-10
128,Vvf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Vv2ABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,VABAdg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,ve2GAPDH,-1.118246e-12,-1.101268e-12,-1.24821e-13,-1.259554e-11,3.102901e-12,-1.143489e-14,-1.251891e-13,2.963e-13,4.250887e-13,4.234452e-13,-8.546684e-12,1.561244e-11,-6.332863e-12
