,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
0,vc,15.29604,24.96832,26.31525,26.46197,26.54523,26.54967,26.54964,26.53727,26.52382,29.52853,26.51611,26.47552,26.41991,26.25401,18.30625
1,vo,5.550982,9.061084,9.549889,9.603135,9.633349,9.634959,9.63495,9.63046,9.625579,10.716,9.622783,9.608051,9.58787,9.527664,6.643398
2,v2,38.91108,63.51622,66.94569,67.3189,67.53067,67.54196,67.54189,67.51042,67.47621,75.11961,67.45661,67.35335,67.21191,66.78985,46.56781
3,v3,38.91108,63.51622,66.94569,67.3189,67.53067,67.54196,67.54189,67.51042,67.47621,83.92755,67.45661,67.35335,67.21191,66.78985,46.56781
4,v5,7.10605,12.11781,13.13859,13.21184,13.25285,13.25504,13.25502,13.24893,13.24231,18.87972,13.23851,13.21851,13.19111,13.1026,8.55433
5,v6,7.10605,12.11781,13.13859,13.21184,13.25285,13.25504,13.25502,13.24893,13.24231,18.87606,13.23851,13.21851,13.19111,13.1026,8.55433
6,v7,6.949007,11.34314,11.95505,12.0217,12.05953,12.06154,12.06153,12.05591,12.0498,13.41881,12.0463,12.02786,12.00259,11.92722,8.316551
7,v8,6.949007,11.34314,11.95505,12.0217,12.05953,12.06154,12.06153,12.05591,12.0498,13.41844,12.0463,12.02786,12.00259,11.92722,8.316551
8,v9,6.949007,11.34314,11.95505,12.0217,12.05953,12.06154,12.06153,12.05591,12.0498,13.41753,12.0463,12.02786,12.00259,11.92722,8.316551
9,v10,6.949007,11.34314,11.95505,12.0217,12.05953,12.06154,12.06153,12.05591,12.0498,13.41551,12.0463,12.02786,12.00259,11.92722,8.316551
10,v13,20.84702,34.02941,35.86514,36.06511,36.17858,36.18463,36.18459,36.16773,36.1494,40.24696,36.1389,36.08357,36.00778,35.78167,24.94965
11,v23,0.1721347,0.787639,1.195484,1.202198,1.205456,1.20563,1.205629,1.205145,1.20462,0.0006873079,1.204318,1.202729,1.200538,1.187299,0.2526373
12,v24,0.1721347,0.787639,1.195484,1.202198,1.205456,1.20563,1.205629,1.205145,1.20462,0.0006873079,1.204318,1.202729,1.200538,1.187299,0.2526373
13,v25,0.01509183,0.01296726,0.01194422,0.0120618,0.01213149,0.01213501,0.01213506,0.01212462,0.01211304,-5.410508,0.01210675,0.01207306,0.0120269,0.011918,0.01485828
14,v112,5.550982,9.061084,9.549889,9.603135,9.633349,9.634959,9.63495,9.63046,9.625579,10.71601,9.622783,9.608051,9.58787,9.527664,6.643398
