,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14
123,vP680_f,1.618242e-08,-5.1894e-07,-4.869904e-08,-5.286605e-06,-0.0003776256,-1.365199e-05,4.577615e-09,-4.148082e-06,1.254466e-05,-2.734504e-06,-0.000189882,-7.189052e-05,-1.703877e-07,-1.880335e-07
124,Vva,0.0,0.0,0.0,0.02425694,0.02455017,0.0225218,0.02179191,0.02121014,0.02167322,0.02260738,0.02502083,0.01610135,0.0,0.0
125,Vaz,0.0,0.0,0.0,0.03731096,0.06386233,0.07851053,0.0821113,0.08469311,0.08265615,0.07805577,0.0560385,0.01082916,0.0,0.0
126,Vza,1.802249e-11,2.419696e-11,1.966393e-11,0.03731083,0.06386223,0.07851053,0.0821113,0.08469298,0.08265618,0.0780557,0.05603906,0.01082925,4.821523e-80,2.685156e-11
127,Vav,3.743354e-10,4.859399e-10,4.248914e-10,0.02425675,0.02455006,0.02252179,0.02179191,0.02121001,0.02167323,0.02260733,0.02502132,0.01610148,8.031353e-78,5.36125e-10
128,Vvf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Vv2ABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,VABAdg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,ve2GAPDH,-5.996444e-14,-1.55614e-11,-2.43235e-13,1.369134e-11,-1.031848e-11,2.110118e-13,1.195868e-14,2.524665e-12,1.33828e-11,-1.649193e-11,8.377225e-11,2.388616e-13,-6.506984e-13,1.578747e-11
132,ve2FBPase,1.15983e-12,-4.916347e-12,-4.603708e-12,2.102702e-12,-1.058139e-12,1.752271e-13,6.137129e-14,-4.311614e-12,8.776403e-13,-1.561691e-12,8.914081e-12,9.119886e-14,-7.115028e-13,1.038311e-11
133,ve2SBPase,2.813375e-12,-1.980668e-11,-1.436154e-11,8.986132e-12,-4.913027e-12,1.932398e-13,4.407535e-14,-1.534515e-11,4.208995e-12,-7.485586e-12,3.901539e-11,5.515925e-14,-3.015538e-12,4.479774e-11
134,ve2PRK,-6.069996e-14,-1.358127e-11,-7.76812e-14,1.106412e-11,-1.004056e-11,1.937647e-13,1.166637e-14,2.48811e-12,1.331986e-11,-1.609742e-11,8.182664e-11,2.65267e-13,-2.880427e-13,-1.418418e-11
135,ve2ATPase,-6.831496e-15,-1.527703e-12,-8.703132e-15,1.24384e-12,-1.129339e-12,2.179134e-14,1.31218e-15,2.79868e-13,1.49826e-12,-1.810615e-12,9.203608e-12,2.981522e-14,-3.24033e-14,-1.602038e-12
136,ve2ATPGPP,-5.619878e-14,-2.515203e-11,-4.88799e-13,1.671231e-11,-1.007668e-11,2.326877e-13,1.154482e-14,2.466347e-12,1.203341e-11,-1.590463e-11,8.077379e-11,1.581859e-13,-3.013062e-12,6.492561e-11
137,ve2MDH,-2.349737e-16,-5.389433e-14,-1.417594e-16,3.39381e-14,-3.919849e-14,7.155192e-16,4.531965e-17,9.730037e-15,5.219553e-14,-6.238331e-14,3.176068e-13,1.138656e-15,-1.412146e-15,-8.628954e-14
138,ve2Fd,4.00264,7.344344,11.29694,12.92744,12.92773,12.97808,12.96648,13.21822,13.11186,13.04439,12.09196,12.78715,10.94212,4.855112
139,veFd2Thio,3.728093e-12,-9.582215e-11,-1.986473e-11,6.281846e-11,-4.717249e-11,1.39334e-12,1.53694e-13,-9.364874e-12,5.881785e-11,-7.558171e-11,3.884457e-10,-5.781679e-11,-8.363317e-12,1.064064e-10
140,veFd2Calvin,0.3841116,1.152884,2.724932,2.1079,2.107791,2.088739,2.093128,1.997864,2.038113,2.063644,2.424066,2.16099,1.480614,0.5567742
141,ve2RuACT,-5.966423e-15,-2.664439e-12,-5.159845e-14,1.774939e-12,-1.071279e-12,2.471451e-14,1.22752e-15,2.641366e-13,1.280437e-12,-1.691076e-12,8.588227e-12,1.690072e-14,-3.180978e-13,6.873068e-12
