,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
0,vc,15.29945,25.05367,26.31433,29.50063,26.54461,26.54778,26.54918,26.53626,26.52382,26.51941,26.51655,26.47659,26.42042,26.25401,18.29747
1,vo,5.55222,9.092056,9.549557,10.70587,9.633123,9.634277,9.634782,9.630096,9.625579,9.62398,9.622943,9.608441,9.588055,9.527664,6.640209
2,v2,38.91976,63.73345,66.94336,75.04864,67.52909,67.53717,67.54072,67.50787,67.47621,67.465,67.45774,67.35609,67.2132,66.78985,46.54546
3,v3,38.91976,63.73345,66.94336,83.56351,67.52909,67.53717,67.54072,67.50787,67.47621,67.465,67.45774,67.35609,67.2132,66.78985,46.54546
4,v5,7.107666,12.17496,13.13811,18.72123,13.25254,13.25411,13.2548,13.24844,13.24231,13.24013,13.23873,13.21904,13.19136,13.1026,8.550033
5,v6,7.107666,12.17496,13.13811,18.71778,13.25254,13.25411,13.2548,13.24844,13.24231,13.24013,13.23873,13.21904,13.19136,13.1026,8.550033
6,v7,6.950557,11.38191,11.95463,13.40533,12.05924,12.06069,12.06132,12.05545,12.0498,12.0478,12.0465,12.02834,12.00282,11.92722,8.312558
7,v8,6.950557,11.38191,11.95463,13.40499,12.05924,12.06069,12.06132,12.05545,12.0498,12.0478,12.0465,12.02834,12.00282,11.92722,8.312559
8,v9,6.950557,11.38191,11.95463,13.40406,12.05924,12.06069,12.06132,12.05545,12.0498,12.0478,12.0465,12.02834,12.00282,11.92722,8.312559
9,v10,6.950557,11.38191,11.95463,13.40213,12.05924,12.06069,12.06132,12.05545,12.0498,12.0478,12.0465,12.02834,12.00282,11.92722,8.312559
10,v13,20.85167,34.14572,35.86389,40.20685,36.17772,36.18206,36.18396,36.16636,36.1494,36.14339,36.1395,36.08503,36.00847,35.78167,24.93768
11,v23,0.1722,0.8059587,1.195419,0.0006980022,1.205431,1.205556,1.205611,1.205106,1.20462,1.204447,1.204336,1.202771,1.200559,1.187299,0.2523336
12,v24,0.1722,0.8059587,1.195419,0.0006980027,1.205429,1.205556,1.205611,1.205106,1.20462,1.204447,1.204336,1.202771,1.200559,1.187299,0.2523336
13,v25,0.01509174,0.01290889,0.01194355,-5.267063,0.01213078,0.012133,0.01213447,0.01212339,0.01211304,0.01210963,0.01210715,0.01207421,0.01202726,0.011918,0.01485919
14,v112,5.55222,9.092056,9.549557,10.70585,9.633122,9.634277,9.634782,9.630096,9.625579,9.62398,9.622943,9.608441,9.588055,9.527664,6.640209
