,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
0,vc,17.67105,29.75886,33.16777,33.32409,33.39286,33.42002,33.43848,33.43796,33.43619,33.42639,33.41661,33.37035,33.30765,32.79526,20.06002
1,vo,4.321724,7.277982,8.111683,8.149914,8.166733,8.173375,8.17789,8.177762,8.177328,8.174933,8.172539,8.161227,8.145892,8.02058,4.905984
2,v2,41.81283,70.41304,78.4889,78.85913,79.02183,79.08608,79.12975,79.12852,79.12433,79.10115,79.078,78.96857,78.82021,77.60565,47.46455
3,v3,41.81283,70.41304,78.4889,78.85913,79.02183,79.08608,79.12975,79.12852,79.12433,79.10115,79.078,78.96857,78.82021,77.60565,47.46455
4,v5,7.5047,13.22561,15.66555,15.77241,15.80384,15.81613,15.82449,15.82425,15.82345,15.81901,15.8146,15.79362,15.76457,15.32303,8.552475
5,v6,7.5047,13.22561,15.66555,15.77241,15.80384,15.81613,15.82449,15.82425,15.82345,15.81901,15.8146,15.79362,15.76457,15.32303,8.552475
6,v7,7.330893,12.34561,13.75982,13.82467,13.8532,13.86447,13.87212,13.87191,13.87117,13.86711,13.86305,13.84386,13.81785,13.60528,8.322002
7,v8,7.330886,12.34561,13.75982,13.82467,13.8532,13.86447,13.87212,13.87191,13.87117,13.86711,13.86305,13.84386,13.81785,13.60528,8.322002
8,v9,7.331769,12.34561,13.75982,13.82467,13.8532,13.86447,13.87212,13.87191,13.87117,13.86711,13.86305,13.84386,13.81785,13.60528,8.322002
9,v10,7.330906,12.34561,13.75982,13.82467,13.8532,13.86447,13.87212,13.87191,13.87117,13.86711,13.86305,13.84386,13.81785,13.60528,8.322002
10,v13,21.99278,37.03684,41.27946,41.47401,41.55959,41.5934,41.61637,41.61572,41.61352,41.60133,41.58914,41.53158,41.45354,40.81584,24.96601
