,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14
0,vc,8.958496,17.89463,31.63689,33.26105,33.34733,33.41086,33.43107,33.44761,33.43513,33.41113,33.32021,33.03495,26.39395,11.05706
1,vo,2.190937,4.376405,7.737283,8.134496,8.155597,8.171135,8.176076,8.180122,8.177071,8.171201,8.148964,8.0792,6.455042,2.704171
2,v2,21.19954,42.34179,74.86037,78.70993,78.9141,79.06441,79.11221,79.15135,79.12183,79.06505,78.84994,78.17397,62.44956,26.16489
3,v3,21.19954,42.34179,74.86037,78.70993,78.9141,79.06441,79.11221,79.15135,79.12183,79.06505,78.84994,78.17397,62.44956,26.16489
4,v5,3.766536,7.602104,14.40751,15.73913,15.78313,15.81198,15.82112,15.82861,15.82297,15.8121,15.77058,15.54279,11.46375,4.659407
5,v6,3.766536,7.602104,14.40751,15.73913,15.78313,15.81198,15.82112,15.82861,15.82297,15.8121,15.77058,15.54279,11.46375,4.659407
6,v7,3.716476,7.423679,13.12472,13.79852,13.83431,13.86067,13.86904,13.87591,13.87073,13.86078,13.82306,13.70472,10.94967,4.587075
7,v8,3.716479,7.42368,13.12472,13.79852,13.83431,13.86067,13.86905,13.87591,13.87073,13.86078,13.82306,13.70472,10.94967,4.587076
8,v9,3.71647,7.42368,13.12472,13.79852,13.83431,13.86067,13.86869,13.87591,13.87073,13.86078,13.82306,13.70472,10.94967,4.587076
9,v10,3.716479,7.42368,13.12472,13.79852,13.83431,13.86067,13.86906,13.87591,13.87073,13.86078,13.82306,13.70472,10.94967,4.587076
10,v13,11.14943,22.27104,39.37417,41.39555,41.50293,41.582,41.60714,41.62773,41.6122,41.58233,41.46917,41.11415,32.849,13.76123
11,v23,0.06436575,0.1927888,1.296696,1.954777,1.963062,1.965624,1.966412,1.967049,1.966566,1.965633,1.961735,1.852132,0.5281522,0.0866918
12,v24,0.06436583,0.1927888,1.296696,1.954777,1.963062,1.965624,1.966412,1.967049,1.966566,1.965633,1.961735,1.852132,0.5281522,0.0866918
13,v25,0.01430446,0.01436381,0.0139063,0.0141585,0.01424181,0.01430716,0.01432802,0.01434556,0.0143325,0.01430782,0.01421387,0.01405455,0.0140801,0.01435961
14,v112,2.190937,4.376405,7.737283,8.134496,8.155597,8.171135,8.176076,8.180122,8.177071,8.171201,8.148964,8.0792,6.455042,2.704171
15,v113,1.095468,2.188203,3.868641,4.067248,4.077799,4.085567,4.088037,4.090061,4.088535,4.0856,4.074482,4.0396,3.227518,1.352086
16,v121,2.190937,4.376405,7.737283,8.134496,8.155597,8.171135,8.176076,8.180122,8.177071,8.171201,8.148964,8.0792,6.455042,2.704171
17,v122,1.095468,2.188203,3.868641,4.067248,4.077799,4.085567,4.088037,4.090061,4.088535,4.0856,4.074482,4.0396,3.227518,1.352086
