,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
33,vgap_in,19.77471,17.45298,18.4012,18.46241,18.45099,18.44609,18.442,18.44248,18.44301,18.44474,18.44583,18.45446,18.46477,18.10639,19.50025
34,vpga_in,19.77471,17.45298,18.4012,18.46241,18.45099,18.44609,18.442,18.44248,18.44301,18.44474,18.44583,18.45446,18.46477,18.10639,19.50025
35,vpga_use,0.01067995,0.02185863,0.01453912,0.01415041,0.01420454,0.01422801,0.01424728,0.01424523,0.01424263,0.01423443,0.01422931,0.01418797,0.01413988,0.01642057,0.01183023
36,Vbf1,106.9663,190.1693,217.4697,218.4198,218.4998,218.5136,218.517,218.5173,218.5102,218.512,218.5308,218.4857,218.3802,214.1198,114.0136
37,Vbf2,106.9663,190.1693,217.4697,218.4198,218.4998,218.5134,218.517,218.5171,218.5102,218.512,218.5307,218.4857,218.3802,214.1198,114.0136
38,Vbf3,106.9663,190.1693,217.4697,218.4198,218.4998,218.5134,218.517,218.5171,218.5102,218.512,218.5307,218.4857,218.3802,214.1198,114.0136
39,Vbf4,106.9663,190.1693,217.4697,218.4198,218.4998,218.5134,218.517,218.5171,218.5102,218.512,218.5307,218.4857,218.3802,214.1198,114.0136
40,Vbf5,41.34224,73.53328,82.54949,83.07911,83.28468,83.37103,83.44357,83.43575,83.42458,83.39636,83.37139,83.21978,83.02441,81.38084,44.03076
41,Vbf6,65.62409,116.636,134.9202,135.3407,135.2151,135.1424,135.0734,135.0814,135.0856,135.1157,135.1594,135.2659,135.3558,132.739,69.98283
42,Vbf7,65.62459,116.636,134.9202,135.3407,135.2151,135.1432,135.0734,135.0831,135.0856,135.1157,135.1594,135.2659,135.3558,132.739,69.98283
43,Vbf8,106.9663,190.1693,217.4697,218.4198,218.4998,218.5135,218.517,218.5171,218.5102,218.512,218.5307,218.4857,218.3802,214.1198,114.0136
44,Vbf9,106.9663,190.1693,217.4697,218.4198,218.4998,218.6646,218.517,218.5172,218.5101,218.5121,218.5308,218.4857,218.384,214.1198,114.0136
45,Vbf10,106.9665,190.1694,217.4697,218.4198,218.4998,218.8616,218.5165,218.5174,218.5111,218.5157,218.5307,218.4858,218.3863,214.1198,114.0136
46,Vbf11,63.65174,113.1771,128.7636,129.3987,129.5212,129.5642,129.5968,129.5935,129.5857,129.5744,129.5717,129.4873,129.3582,126.8243,67.83019
47,Vqi,131.2482,233.272,269.8404,270.6815,270.4302,270.2848,270.1468,270.1628,270.1712,270.2314,270.3187,270.5318,270.7116,265.478,139.9657
48,Vipc,12864.13,22939.14,26289.24,26432.01,26476.97,26496.94,26518.8,26516.71,26514.9,26511.81,26504.89,26468.57,26423.0,25874.03,13713.87
49,Vicp,12861.37,22933.69,26280.99,26420.89,26463.52,26482.4,26503.31,26501.31,26499.59,26496.92,26490.43,26455.86,26412.4,25866.81,13710.92
50,Vinc,52.43631,103.6938,157.211,212.2347,256.9613,277.6616,296.1124,294.3187,292.5251,284.4012,276.2776,242.5327,202.3824,137.5433,56.24485
51,Vinp,57.95592,114.609,173.7596,234.5752,284.0098,306.8891,327.2821,325.2996,323.3172,314.3382,305.3595,268.0625,223.6858,152.0215,62.16536
52,Vdp,47.09763,94.71268,148.949,206.7998,253.8738,275.6625,295.0815,293.1937,291.3056,282.7514,274.1998,238.6837,196.4304,128.5019,50.57174
53,Vdc,47.08754,94.6902,148.9023,206.7127,253.7448,275.5113,294.9091,293.0234,291.1375,282.5926,274.0502,238.5691,196.3515,128.4661,50.56085
54,Vfp,8.1044,14.45166,16.56222,16.65217,16.68049,16.69307,16.70685,16.70553,16.70439,16.70244,16.69808,16.6752,16.64649,16.30064,8.639739
55,Vfc,8.102665,14.44822,16.55703,16.64516,16.67201,16.68391,16.69708,16.69583,16.69474,16.69306,16.68897,16.66719,16.63981,16.29609,8.637878
56,Vsfd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,VsATP,1.482449,1.668734,2.13291,2.162121,2.16185,2.161688,2.161565,2.161577,2.161613,2.161655,2.161656,2.161975,2.161986,2.019893,1.489957
