,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13
0,vc,5.754592,10.17432,17.60134,25.63384,26.3051,26.36757,26.40896,26.44592,26.4103,26.36251,26.19876,20.97213,9.656877
1,vo,2.08836,3.692293,6.387584,9.302604,9.546204,9.568875,9.583898,9.59731,9.584384,9.567039,9.507616,7.610855,3.504512
2,v2,14.64021,25.88321,44.77481,65.21052,66.91985,67.07877,67.18407,67.27807,67.18747,67.0659,66.64922,53.34888,24.56697
3,v3,14.64021,25.88321,44.77481,65.21052,66.91985,67.07877,67.18407,67.27807,67.18748,67.0659,66.64922,53.34888,24.56697
4,v5,2.638588,4.694052,8.211924,12.59547,13.13318,13.16521,13.1857,13.20393,13.18637,13.16268,13.0621,9.879224,4.452493
5,v6,2.638588,4.694053,8.211924,12.59547,13.13318,13.16521,13.1857,13.20393,13.18637,13.16268,13.0621,9.879224,4.452493
6,v7,2.614317,4.622201,7.99631,11.64548,11.95043,11.97881,11.99762,12.01441,11.99823,11.97652,11.90213,9.527663,4.387129
7,v8,2.614317,4.622203,7.996309,11.64548,11.95043,11.97881,11.99762,12.01441,11.99823,11.97652,11.90213,9.527663,4.38713
8,v9,2.614317,4.622203,7.996309,11.64548,11.95043,11.97881,11.99762,12.01441,11.99823,11.97652,11.90213,9.527663,4.38713
9,v10,2.614317,4.622203,7.996309,11.64548,11.95043,11.97881,11.99762,12.01441,11.99823,11.97652,11.90213,9.527663,4.38713
10,v13,7.842952,13.86661,23.98893,34.93645,35.8513,35.93644,35.99286,36.04323,35.99469,35.92955,35.70638,28.58299,13.16139
11,v23,0.03934882,0.0870726,0.2305412,0.9624146,1.194685,1.198379,1.200101,1.201568,1.200155,1.198149,1.171899,0.3660264,0.08057899
12,v24,0.03934882,0.08707259,0.2305412,0.9624146,1.194685,1.198379,1.200101,1.201568,1.200155,1.198149,1.171899,0.3660264,0.08057899
13,v25,0.0150781,0.01521688,0.01492803,0.01243099,0.01193743,0.01198409,0.01201799,0.0120479,0.01201902,0.01198,0.01192909,0.01446534,0.01521445
14,v112,2.08836,3.692293,6.387584,9.302604,9.546204,9.568875,9.583898,9.59731,9.584384,9.567039,9.507616,7.610855,3.504512
15,v113,1.04418,1.846148,3.193791,4.651302,4.773102,4.784438,4.791949,4.798655,4.792192,4.78352,4.753808,3.805428,1.752256
16,v121,2.08836,3.692293,6.387584,9.302604,9.546204,9.568875,9.583898,9.59731,9.584384,9.567039,9.507616,7.610855,3.504512
17,v122,1.04418,1.846148,3.193791,4.651302,4.773102,4.784438,4.791949,4.798655,4.792192,4.78352,4.753808,3.805428,1.752256
18,v123,1.04418,1.846148,3.193791,4.651302,4.773102,4.784438,4.791949,4.798655,4.792192,4.78352,4.753808,3.805428,1.752256
19,v124,1.04418,1.846145,3.193793,4.651302,4.773102,4.784438,4.791949,4.798655,4.792192,4.78352,4.753808,3.805428,1.752255
20,v131,1.04418,1.846148,3.193792,4.651302,4.773102,4.784438,4.791949,4.798655,4.792192,4.78352,4.753808,3.805428,1.752256
21,vlin,1.04418,1.846148,3.193791,4.651302,4.773102,4.784438,4.791949,4.798655,4.792192,4.78352,4.753808,3.805428,1.752256
22,v2out,2.08836,3.692293,6.387584,9.302604,9.546204,9.568875,9.583898,9.59731,9.584384,9.567039,9.507616,7.610855,3.504512
23,v51,0.7600409,1.314255,2.181014,2.541569,2.401096,2.405954,2.409898,2.413491,2.410028,2.405491,2.409322,2.503723,1.250299
24,v52,0.7600407,1.314255,2.181014,2.541569,2.401096,2.405954,2.409898,2.413491,2.410028,2.405491,2.409322,2.503723,1.250299
25,v55,0.3800208,0.6571314,1.090507,1.270784,1.200548,1.202977,1.204949,1.206745,1.205014,1.202745,1.204661,1.251861,0.625148
26,v56,0.3800204,0.6571274,1.090507,1.270784,1.200548,1.202977,1.204949,1.206745,1.205014,1.202746,1.204661,1.251861,0.6251492
27,v57,0.3800204,0.6571274,1.090507,1.270784,1.200548,1.202977,1.204949,1.206745,1.205014,1.202746,1.204661,1.251861,0.6251492
28,v58,0.07656354,0.07188581,0.06641209,0.06460632,0.06528221,0.06525827,0.06523886,0.06522121,0.06523821,0.06526057,0.0652417,0.06478512,0.0723681
29,v59,0.07656393,0.07188501,0.06641179,0.06460631,0.06528222,0.06525827,0.06523886,0.06522121,0.06523823,0.06526054,0.06524169,0.06478509,0.07236885
30,v60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,v62,0.3800204,0.6571274,1.090507,1.270784,1.200548,1.202977,1.204949,1.206745,1.205014,1.202746,1.204661,1.251861,0.6251493
32,vdhap_in,24.00637,22.02951,19.95066,19.22802,19.50469,19.49503,19.4872,19.48007,19.48694,19.49595,19.48834,19.30208,22.219
33,vgap_in,24.00637,22.02951,19.95066,19.22802,19.50469,19.49503,19.4872,19.48007,19.48694,19.49595,19.48834,19.30208,22.219
34,vpga_in,24.00637,22.02951,19.95066,19.22802,19.50469,19.49503,19.4872,19.48007,19.48694,19.49595,19.48834,19.30208,22.219
35,vpga_use,0.001514136,0.003869523,0.009253739,0.01107585,0.009645072,0.00967923,0.009708431,0.009735181,0.009709395,0.009675835,0.0097356,0.01166819,0.003551576
36,Vbf1,40.27018,71.2382,123.4234,181.2119,186.4419,186.8866,187.1797,187.4411,187.1891,186.8508,185.6462,147.2719,67.61059
37,Vbf2,40.27018,71.2382,123.4234,181.2119,186.4419,186.8866,187.1797,187.4411,187.1891,186.8508,185.6462,147.2719,67.61059
38,Vbf3,40.27018,71.2382,123.4234,181.2119,186.4419,186.8866,187.1797,187.4411,187.1891,186.8508,185.6462,147.2719,67.61059
39,Vbf4,40.27018,71.2382,123.4234,181.2119,186.4419,186.8866,187.1797,187.4411,187.1891,186.8508,185.6462,147.2719,67.61059
40,Vbf5,14.64021,25.88322,44.77482,65.21052,66.91985,67.07877,67.18406,67.27807,67.18751,67.06588,66.64922,53.34888,24.56699
41,Vbf6,25.62997,45.35498,78.64856,116.0014,119.522,119.8079,119.9956,120.163,120.0016,119.7849,118.997,93.92299,43.0436
42,Vbf7,25.62997,45.355,78.64873,116.0014,119.522,119.8079,119.9957,120.163,120.0018,119.7849,118.997,93.92299,43.0436
43,Vbf8,40.27018,71.2382,123.4234,181.2119,186.4419,186.8866,187.1797,187.4411,187.1891,186.8508,185.6462,147.2719,67.61059
44,Vbf9,40.27018,71.23831,123.4234,181.2118,186.4419,186.8866,187.1797,187.4411,187.1891,186.8508,185.6462,147.2719,67.61059
45,Vbf10,40.27018,71.23553,123.4233,181.2118,186.4419,186.8866,187.1797,187.4411,187.1893,186.8508,185.6463,147.2719,67.61059
46,Vbf11,23.56669,41.68304,72.18807,105.7607,108.7389,108.998,109.169,109.3215,109.1745,108.9771,108.2813,86.10333,39.56119
47,Vqi,51.25994,90.70996,157.2971,232.0027,239.0441,239.6157,239.9912,240.326,240.0031,239.5698,237.994,187.846,86.0872
48,Vipc,4836.535,8560.887,14850.53,21853.69,22500.56,22558.56,22599.27,22646.97,22601.16,22553.73,22397.44,17734.19,8124.372
49,Vicp,4835.525,8559.053,14847.2,21847.86,22492.23,22548.96,22588.71,22635.45,22590.57,22544.27,22390.39,17730.09,8122.639
50,Vinc,19.23782,34.92814,63.44373,111.1971,158.9506,183.18,201.5286,219.8771,202.1209,180.3527,134.4153,78.11972,32.99075
51,Vinp,21.26286,38.60479,70.12202,122.9021,175.6822,202.4621,222.7422,243.0221,223.3967,199.3372,148.5643,86.34285,36.46346
52,Vdp,17.20544,31.37704,57.43453,103.2974,153.172,178.6502,197.9474,217.2409,198.5699,175.6759,127.4017,71.06826,29.61246
53,Vdc,17.20184,31.37032,57.42165,103.2698,153.1153,178.5742,197.855,217.1304,198.4769,175.6023,127.3616,71.05182,29.60614
54,Vfp,3.047017,5.393359,9.355837,13.76783,14.17535,14.21189,14.23754,14.26759,14.23873,14.20885,14.11039,11.17254,5.118354
55,Vfc,3.046381,5.392203,9.353738,13.76415,14.1701,14.20584,14.23089,14.26034,14.23206,14.20289,14.10595,11.16996,5.117263
56,Vsfd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,VsATP,1.244408,1.301596,1.370238,1.65594,1.769521,1.769984,1.76987,1.769726,1.769865,1.769987,1.759153,1.416606,1.296341
58,VgPQH2,288.3775,194.1156,460.6724,563.0649,499.8723,878.5644,909.233,251.144,726.3976,788.2031,615.0258,336.5186,150.5331
59,Vbf12,-3.238419e-10,-1.241817e-06,5.354425e-08,-8.897598e-09,2.269962e-09,1.300819e-09,-4.650523e-08,-4.239774e-10,-3.77361e-07,1.047522e-07,6.991883e-09,-2.822917e-10,9.821588e-08
60,Vbf13,-8.533587e-11,-3.339358e-07,1.465292e-08,-2.564081e-09,7.736071e-10,4.5405e-10,-1.702635e-08,-1.394547e-10,-1.382802e-07,3.596019e-08,2.140616e-09,-8.463141e-11,2.65299e-08
61,Vbf14,-3.240087e-11,1.058551e-07,-6.200371e-09,9.961027e-10,-1.992848e-10,-1.485923e-10,4.770685e-09,2.776985e-11,3.842009e-08,-1.041953e-08,-9.158488e-10,5.758175e-11,-8.52089e-09
62,Vbf15,40.27018,71.2382,123.4234,181.2119,186.4419,186.8866,187.1797,187.4411,187.1891,186.8508,185.6462,147.2719,67.61059
63,Vbf16,40.27018,71.2382,123.4234,181.2119,186.4419,186.8866,187.1797,187.4411,187.1891,186.8508,185.6462,147.2719,67.61059
64,vbfn2,14.64021,25.88322,44.77482,65.21052,66.91985,67.07877,67.18406,67.27807,67.18751,67.06588,66.64922,53.34888,24.56699
65,VsNADPH,0.5361253,0.6317385,0.6595812,0.7397108,0.7521424,0.7051103,0.699948,0.8426985,0.7133362,0.7118648,0.7377394,0.7302659,0.649489
