,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12
90,v3z,15.35068,27.7754,33.65107,35.318,35.67217,34.9949,33.04053,35.08718,35.52594,30.10896,18.90059,9.06287
91,v0z,15.35068,27.7754,33.65107,35.318,35.67217,34.9949,33.04053,35.08718,35.52594,30.10896,18.90059,9.06287
92,vAB1,31.41212,56.09501,68.12947,71.38273,71.55391,70.53936,66.74505,70.78818,71.61825,61.62486,44.00993,18.8564
93,vBA1,0.710769,0.5442125,0.8273488,0.7467313,0.2095814,0.5495272,0.6639882,0.6138255,0.5663748,1.406931,6.208706,0.7306644
94,vAB2,48.20315,63.95807,84.25459,85.5859,72.92339,78.44746,77.5324,80.55304,80.35504,100.9023,249.0357,39.23575
95,vBA2,17.50179,8.407269,16.95247,14.94991,1.579067,8.457637,11.45133,10.37869,9.303159,40.6844,211.2344,21.11001
96,v3,3.408475,3.230156,4.63388,4.282253,1.429478,3.335232,3.888543,3.656698,3.413647,6.52532,9.774087,2.805307
97,v_r3,0.09148124,0.06650006,0.1043328,0.09340046,0.01785018,0.06558072,0.08183017,0.07476109,0.06834589,0.1758015,0.4464821,0.08748087
98,v3_n,28.06568,53.46372,64.15076,67.87474,70.89314,68.04617,63.57511,67.95551,69.07195,55.21195,29.54659,15.83304
99,v_r3_n,0.681238,1.076572,1.37813,1.427594,0.9603925,1.325844,1.30076,1.363092,1.36537,1.343544,1.072957,0.4251265
100,v_pq_ox,2710.888,2398.992,2528.513,2499.893,1677.743,2349.476,2436.062,2406.991,2383.069,2725.247,3047.486,2818.183
101,Ic,16.43449,32.02257,42.46165,49.44454,53.74714,47.39905,40.98043,47.89279,51.49004,36.04303,20.66655,9.381062
102,Ia,75.06565,146.2653,193.9465,225.8413,245.4937,216.4984,187.1809,218.7536,235.1842,164.629,94.39586,42.84863
103,v2_1,60.11349,106.9312,130.3582,136.2551,128.8717,133.7468,127.3159,134.5987,135.8223,117.9754,74.97135,35.68886
104,v2_2,1208.518,1201.015,1987.284,2009.636,741.7362,1490.623,1602.982,1654.18,1618.173,2866.78,5295.125,992.5762
105,v2_00_1,1.347925,3.927444,3.63392,3.891915,8.682192,4.915571,4.20894,4.530685,4.695629,2.199571,0.6217506,0.6179002
106,v2_01_1,2.839054,7.71055,7.286318,7.778577,17.10272,9.677385,8.319705,8.953807,9.273034,4.79727,2.634844,1.454429
107,v2_02_1,55.92651,95.29316,119.438,124.5846,103.0868,119.1538,114.7872,121.1142,121.8536,110.9786,71.71476,33.61653
108,v2_00_2,27.0986,44.11173,55.39836,57.40212,49.9714,54.78461,52.99304,55.68084,55.94325,53.44915,43.91341,17.185
109,v2_01_2,57.07618,86.60229,111.0784,114.7268,98.43672,107.8556,104.75,110.0398,110.478,116.5727,186.0955,40.45047
110,v2_02_2,1124.343,1070.301,1820.807,1837.507,593.3281,1327.983,1445.239,1488.459,1451.751,2696.758,5065.117,934.9407
111,vr2_00_1,0.0003139373,0.001030054,0.001548954,0.001703964,0.001617492,0.001651576,0.00147976,0.00166832,0.00170526,0.001255781,0.0005531188,0.0001101139
112,vr2_01_1,0.0003649615,0.0008897277,0.001451187,0.001547731,0.001248825,0.001391465,0.001302212,0.001438224,0.001449459,0.001557705,0.00237113,0.0001735767
113,vr2_02_1,0.01440269,0.02555208,0.05335727,0.05656421,0.01770255,0.04040117,0.04150768,0.04545657,0.04482088,0.0701483,0.08025344,0.006957542
114,vr2_1,0.01508159,0.02747186,0.05635741,0.05981591,0.02056887,0.04344421,0.04428965,0.04856311,0.04797559,0.07296178,0.08317769,0.007241233
115,vr2_00_2,25.12924,44.87448,54.50119,57.10347,57.24033,56.42889,53.39379,56.62792,57.29187,49.29795,35.20701,15.08496
116,vr2_01_2,29.2135,38.76115,51.06116,51.86779,44.19384,47.54173,46.98735,48.81776,48.6977,61.15052,150.9267,23.77899
117,vr2_02_2,1152.869,1113.181,1877.418,1895.588,626.4639,1380.374,1497.711,1542.936,1505.854,2753.798,5108.277,953.1424
118,vr2_2,1207.212,1196.817,1982.98,2004.559,727.8981,1484.344,1598.092,1648.382,1611.843,2864.247,5294.411,992.0063
119,vP680qU,0.1485955,0.6325331,0.699909,0.9570854,3.309859,1.194037,0.8068488,1.094835,1.298209,0.3402932,0.05732195,0.05482786
120,vP680qA,0.1507343,0.6410762,0.7085039,0.9682029,3.349266,1.20831,0.8169804,1.107811,1.313258,0.3445447,0.05804375,0.05564542
121,vU_P680,61.5513,111.7341,135.3042,142.2291,145.9985,141.1737,132.969,141.4435,143.402,120.7761,75.6597,36.30631
122,vP680_d,0.1485965,0.6325331,0.699909,0.957086,3.309859,1.194037,0.8068489,1.094835,1.298209,0.3402815,0.05732281,0.05482786
123,vP680_f,-0.0003907875,3.225962e-09,-0.0002279285,-3.506649e-07,-0.0003884117,-0.000867173,4.158224e-07,-3.46027e-06,7.203661e-08,3.550293e-06,-3.565551e-05,-1.423881e-09
124,Vva,0.0,0.0,0.0,0.008722138,0.01561688,0.004949746,0.0,0.005859268,0.01224921,0.0,0.0,0.0
125,Vaz,0.0,0.0,0.0,0.002758282,0.01006307,0.0008461416,0.0,0.001199307,0.005761043,0.0,0.0,0.0
126,Vza,2.078155e-11,1.962835e-11,1.783101e-11,0.002758789,0.01006298,0.000844715,9.905952e-12,0.001199456,0.005761104,1.41699e-11,2.138893e-11,1.63087e-11
127,Vav,4.27866e-10,4.035683e-10,3.821233e-10,0.008723354,0.01561673,0.004945045,2.194109e-10,0.005859735,0.01224933,3.072096e-10,4.401675e-10,3.45407e-10
128,Vvf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Vv2ABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,VABAdg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,ve2GAPDH,-2.175682e-11,1.909544e-12,-2.708481e-11,-2.559871e-13,-2.005546e-12,5.927321e-11,4.065367e-12,-7.194361e-13,4.565452e-13,6.957132e-12,1.53716e-10,-3.887591e-13
132,ve2FBPase,-2.308442e-12,5.772818e-13,-2.871219e-12,1.286354e-12,-3.407078e-14,-8.132115e-12,2.516855e-12,-1.930969e-12,5.018575e-13,4.47156e-12,1.566276e-11,-2.435966e-12
133,ve2SBPase,-1.042575e-11,2.645982e-12,-1.291556e-11,5.149773e-12,-9.159401e-13,-2.996268e-11,9.686649e-12,-8.146161e-12,1.473388e-12,1.905814e-11,6.948049e-11,-9.588555e-12
134,ve2PRK,-2.164637e-11,9.155283e-13,-2.642541e-11,-8.023279e-13,-1.919812e-12,5.681714e-11,4.063163e-12,4.841884e-13,2.598935e-13,2.209709e-12,1.512452e-10,-2.484814e-13
135,ve2ATPase,-2.435726e-12,1.026759e-13,-2.972421e-12,-9.022116e-14,-2.159376e-13,6.390831e-12,4.570129e-13,5.446416e-14,2.917901e-14,2.481782e-13,1.70137e-11,-2.797347e-14
136,ve2ATPGPP,-2.13943e-11,3.768628e-12,-2.647565e-11,4.48306e-12,-2.00269e-12,4.425619e-11,3.029338e-12,-7.884793e-12,1.340399e-12,2.320761e-11,1.479441e-10,-5.20971e-12
137,ve2MDH,-8.405589e-14,3.151505e-16,-1.02204e-13,-2.276282e-15,-7.284809e-15,2.182049e-13,1.498229e-14,1.227398e-15,1.889764e-16,1.206329e-14,5.876368e-13,-9.143348e-16
138,ve2Fd,5.773936,10.28663,12.6086,14.17098,14.66073,14.04728,12.39362,14.10675,14.32221,10.86837,6.528895,3.418759
139,veFd2Thio,-1.01077e-10,1.027059e-11,-1.245104e-10,9.772055e-12,-9.863347e-12,1.852542e-10,2.760537e-11,-1.86991e-11,4.221171e-12,6.168166e-11,7.064376e-10,-1.865986e-11
140,veFd2Calvin,0.5102088,1.06621,1.514893,1.637313,1.451976,1.525586,1.413538,1.559084,1.580082,1.429959,1.164378,0.2681959
141,ve2RuACT,-2.273743e-12,3.9899e-13,-2.814578e-12,4.722298e-13,-2.12882e-13,4.740387e-12,3.208918e-13,-8.319064e-13,1.415142e-13,2.454619e-12,1.572941e-11,-5.461689e-13
