,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14
45,Vbf10,55.55163,110.9224,184.7361,186.8963,187.2218,187.5113,187.9818,188.3417,188.114,187.8071,173.8226,186.3465,161.1454,55.55163
46,Vbf11,32.50748,64.88892,107.7639,109.0037,109.1936,109.3625,109.637,109.8471,109.7142,109.5351,100.3945,108.6836,94.17761,32.50748
47,Vqi,70.72405,141.3336,236.7616,239.6281,240.0451,240.416,241.0185,241.4795,241.1878,240.7948,219.6487,238.9205,205.7141,70.72405
48,Vipc,6673.804,13344.12,22285.57,22560.85,22606.42,22647.57,22721.12,22779.63,22742.32,22691.42,42805.89,22485.05,19414.44,6673.804
49,Vicp,6672.391,13341.15,22279.03,22551.24,22595.72,22635.77,22707.38,22764.25,22728.01,22678.46,42795.33,22476.96,19409.81,6672.391
50,Vinc,26.90343,56.53125,124.6412,183.386,204.3298,225.2736,262.5638,294.235,273.6317,247.7499,201.0946,154.269,88.0321,26.90343
51,Vinp,29.73537,62.48191,137.7613,202.6898,225.8382,248.9867,290.2021,325.2071,302.435,273.8289,222.2625,170.5079,97.29864,29.73537
52,Vdp,24.1179,51.1064,117.1806,178.8657,200.8929,222.9239,262.1522,295.4744,273.7964,246.5683,184.7359,148.2521,80.44531,24.1179
53,Vdc,24.11279,51.09503,117.1462,178.7895,200.7978,222.8078,261.9938,295.2749,273.6241,246.4274,184.6903,148.1987,80.42615,24.11279
54,Vfp,4.204497,8.406797,14.03991,14.21334,14.24205,14.26797,14.3143,14.35117,14.32766,14.2956,26.96771,14.16558,12.2311,4.204497
55,Vfc,4.203606,8.404927,14.03579,14.20728,14.2353,14.26054,14.30565,14.34148,14.31865,14.28743,26.96106,14.16048,12.22818,4.203606
56,Vsfd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,VsATP,1.276825,1.35281,1.736929,1.769981,1.769848,1.769685,1.769407,1.769191,1.769328,1.769511,1.548577,1.769092,1.464232,1.276825
58,VgPQH2,166.0709,127.3782,502.1389,617.0804,607.1434,786.1508,520.516,1013.097,542.1174,1037.881,114.6683,1346.973,495.4933,166.0709
59,Vbf12,-4.157876e-07,5.560732e-07,7.4134e-07,4.030967e-10,-4.475148e-10,-4.751607e-08,4.479883e-10,-2.446686e-10,3.19226e-09,1.680993e-08,0.0003759781,-2.144117e-10,5.675167e-11,-4.157876e-07
60,Vbf13,-1.117138e-07,1.495082e-07,2.176155e-07,1.371665e-10,-1.650688e-10,-1.85749e-08,2.106989e-10,-1.585586e-10,1.420781e-09,7.492365e-09,0.0001053226,-7.033211e-11,1.598679e-11,-1.117138e-07
61,Vbf14,3.979306e-08,-4.666338e-08,-6.972898e-08,-3.518448e-11,4.55625e-11,4.7622e-09,-9.766789e-11,4.639829e-11,-2.857523e-10,-2.168371e-09,-3.85066e-05,3.960405e-12,-7.855338e-12,3.979306e-08
62,Vbf15,55.55221,110.9289,184.7353,186.8963,187.2218,187.5113,187.9817,188.3418,188.114,187.8071,171.84,186.3465,161.1454,55.55221
63,Vbf16,55.55221,110.9289,184.7353,186.8963,187.2218,187.5113,187.9817,188.3418,188.114,187.8071,171.8459,186.3465,161.1454,55.55221
64,vbfn2,20.19019,40.26214,66.35451,67.08223,67.19921,67.30331,67.47252,67.602,67.52008,67.40971,62.01494,66.88624,58.28839,20.19019
65,VsNADPH,0.6053902,0.813977,0.7559541,0.7286181,0.7262433,0.7045205,0.7310308,0.6811755,0.7257182,0.6861292,1.076085,0.6914018,0.7150195,0.6053902
66,vA_d,11.50712,26.69893,77.78479,144.9422,169.35,192.5327,238.161,271.0175,250.8794,217.1768,171.4321,109.0209,43.45761,11.50712
67,vA_f,0.4012093,0.8783731,1.863946,2.30353,2.401171,2.464563,2.600862,2.63266,2.625685,2.518305,5.005125,2.083404,1.32148,0.4012093
68,vA_U,3184.201,6971.215,14793.22,18281.99,19056.91,19560.02,20641.76,20894.13,20838.77,19986.55,39723.21,16534.95,10487.93,3184.201
69,vU_A,3145.207,6891.832,14637.04,18082.26,18842.06,19328.79,20385.74,20611.07,20574.55,19737.49,39519.17,16354.17,10366.15,3145.207
70,vU_f,0.396296,0.8683709,1.844267,2.278364,2.374099,2.435427,2.568603,2.596994,2.592393,2.486923,4.979415,2.060625,1.306135,0.396296
71,vU_d,9.313855,21.31492,72.28788,137.0949,160.25,183.9016,224.314,260.6717,236.6977,209.048,157.7571,105.336,39.8262,9.313855
72,v1,127.7524,242.7897,1041.962,1409.267,1433.534,1794.277,1346.279,2330.762,1398.204,2298.375,810.9406,2466.385,781.3253,127.7524
73,v_r1,87.37187,162.2654,909.253,1275.102,1299.136,1659.67,1211.334,2195.558,1263.164,2163.555,686.9096,2332.612,664.7485,87.37187
74,vS1_S2,10.09511,20.13106,33.17725,33.54112,33.59961,33.65165,33.73626,33.801,33.76004,33.70486,31.00782,33.44312,29.14419,10.09511
75,vS2_S3,10.09511,20.13106,33.17725,33.54112,33.59961,33.65165,33.73626,33.801,33.76004,33.70486,31.00783,33.44312,29.14419,10.09511
76,vS3_S0,10.09511,20.13106,33.17725,33.54112,33.59961,33.65165,33.73626,33.801,33.76004,33.70486,31.00783,33.44312,29.14419,10.09511
77,vS0_S1,10.09511,20.13106,33.17725,33.54112,33.59961,33.65165,33.73626,33.801,33.76004,33.70486,31.00782,33.44312,29.14419,10.09511
78,vz_1,0.5380853,0.9828123,4.833788,6.692769,6.814342,8.647595,6.366177,11.36979,6.629476,11.20938,3.709816,12.07606,3.602383,0.5380853
79,v1z_1,0.1345213,0.2457031,1.208447,1.673192,1.703586,2.161899,1.591544,2.842448,1.657369,2.802345,0.9274538,3.019016,0.9005958,0.1345213
80,v2z_1,0.1345213,0.2457031,1.208447,1.673192,1.703586,2.161899,1.591544,2.842448,1.657369,2.802345,0.9274539,3.019016,0.9005958,0.1345213
81,v3z_1,0.1345213,0.2457031,1.208447,1.673192,1.703586,2.161899,1.591544,2.842448,1.657369,2.802345,0.9274539,3.019016,0.9005958,0.1345213
82,v0z_1,0.1345213,0.2457031,1.208447,1.673192,1.703586,2.161899,1.591544,2.842448,1.657369,2.802345,0.927454,3.019016,0.9005958,0.1345213
83,vz_2,39.84236,79.54141,127.8752,127.4717,127.5841,125.959,128.5789,123.8342,128.4107,123.61,120.3217,121.6964,112.9744,39.84236
84,v1z_2,9.960589,19.88535,31.9688,31.86792,31.89602,31.48975,32.14471,30.95855,32.10267,30.90251,30.08043,30.42411,28.2436,9.960589
85,v2z_2,9.960589,19.88535,31.9688,31.86792,31.89602,31.48975,32.14471,30.95855,32.10267,30.90251,30.08044,30.42411,28.2436,9.960589
86,v3z_2,9.960589,19.88535,31.9688,31.86792,31.89602,31.48975,32.14471,30.95855,32.10267,30.90251,30.08044,30.42411,28.2436,9.960589
87,v0z_2,9.960589,19.88535,31.9688,31.86792,31.89602,31.48975,32.14471,30.95855,32.10267,30.90251,30.08044,30.42411,28.2436,9.960589
88,v1z,10.09511,20.13106,33.17725,33.54112,33.59961,33.65165,33.73626,33.801,33.76004,33.70486,31.00789,33.44312,29.14419,10.09511
89,v2z,10.09511,20.13106,33.17725,33.54112,33.59961,33.65165,33.73626,33.801,33.76004,33.70486,31.00789,33.44312,29.14419,10.09511
90,v3z,10.09511,20.13106,33.17725,33.54112,33.59961,33.65165,33.73626,33.801,33.76004,33.70486,31.00789,33.44312,29.14419,10.09511
91,v0z,10.09511,20.13106,33.17725,33.54112,33.59961,33.65165,33.73626,33.801,33.76004,33.70486,31.00789,33.44312,29.14419,10.09511
92,vAB1,21.47234,43.54282,67.06241,67.56452,67.67421,67.65584,68.00031,67.85541,68.02188,67.66505,63.21136,67.10985,59.05678,21.47234
93,vBA1,1.282146,3.280675,0.7078867,0.4822909,0.4749986,0.352533,0.5277905,0.2534149,0.5017984,0.2553331,1.196665,0.2236078,0.7683989,1.282146
94,vAB2,64.96758,164.8862,82.30755,76.46088,76.58887,72.90248,79.38502,70.83095,78.48286,70.58971,144.7546,69.08414,75.3171,64.96758
95,vBA2,44.77739,124.624,15.95303,9.378653,9.389656,5.599173,11.9125,3.228956,10.96278,3.180002,82.73999,2.197898,17.02871,44.77739
96,v3,3.718111,7.93719,4.005319,2.893692,2.850434,2.200897,3.100324,1.635623,2.971558,1.650232,4.743825,1.480255,4.218807,3.718111
97,v_r3,0.129838,0.2960239,0.08960164,0.05938708,0.0584785,0.04137946,0.06570616,0.0275729,0.06212905,0.02776903,0.1343698,0.02236616,0.09803796,0.129838
98,v3_n,17.10089,33.65842,63.81006,65.57498,65.73745,66.40223,65.80083,67.16199,65.96326,66.95079,58.94826,66.48743,55.38732,17.10089
