,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13
100,v_pq_ox,3055.71,2802.94,2936.695,2903.025,2698.407,2258.915,2324.864,2307.683,2396.103,2352.154,2432.831,2832.417,2731.342
101,Ic,11.22714,19.45191,24.31488,29.17786,56.68651,81.48053,81.84299,82.20544,76.72508,57.61147,38.49786,22.71208,14.69124
102,Ia,51.2807,88.8479,111.0599,133.2719,258.9194,372.1678,373.8234,375.4789,350.447,263.1443,175.8416,103.739,67.10322
103,v2_1,44.20518,73.42535,90.16312,104.894,158.8033,157.9256,157.5015,157.2716,158.4543,159.0043,130.236,84.65984,56.47349
104,v2_2,3807.983,2062.143,4218.232,4374.42,3948.898,1667.417,1837.96,1786.974,2071.785,1856.335,1613.594,2702.387,1185.906
105,v2_00_1,0.3623038,1.25245,1.012414,1.271281,2.85223,6.085046,5.535107,5.664356,5.01855,5.600774,4.389114,1.292898,1.235611
106,v2_01_1,1.946308,2.944837,3.129332,3.587315,6.181058,12.00501,10.94599,11.19392,9.962727,11.04459,8.657837,3.202395,2.646678
107,v2_02_1,41.89657,69.22806,86.02137,100.0354,149.77,139.8356,141.0204,140.4133,143.473,142.3589,117.1891,80.16455,52.5912
108,v2_00_2,31.21006,35.17492,47.36523,53.01655,70.92527,64.24737,64.59181,64.36034,65.61738,65.38762,54.3801,41.26998,25.94702
109,v2_01_2,167.6615,82.70545,146.4041,149.6027,153.7019,126.7518,127.734,127.1891,130.2624,128.9428,107.2686,102.2221,55.57848
110,v2_02_2,3609.111,1944.263,4024.463,4171.801,3724.271,1476.417,1645.634,1595.424,1875.905,1662.004,1451.945,2558.895,1104.38
111,vr2_00_1,0.00022133,0.0004767469,0.0007519465,0.00101023,0.002336684,0.002372947,0.002347573,0.002343897,0.002361898,0.002370206,0.001547391,0.0006412871,0.0002769472
112,vr2_01_1,0.001338524,0.0007441721,0.001984581,0.002245048,0.002774108,0.001936509,0.001949671,0.001936209,0.002018476,0.002018865,0.001379211,0.001116546,0.0003448259
113,vr2_02_1,0.033027,0.03049037,0.07776938,0.09482412,0.1340236,0.05406536,0.05988069,0.05801076,0.0684665,0.06110228,0.04276827,0.0465087,0.0132496
114,vr2_1,0.03458685,0.03171129,0.08050591,0.0980794,0.1391344,0.05837482,0.06417794,0.06229087,0.07284688,0.06549136,0.04569487,0.04826653,0.01387137
115,vr2_00_2,24.36615,30.98455,39.38948,45.04268,66.25605,67.38834,66.90976,66.90116,66.92405,66.92897,54.48876,35.88811,23.65543
116,vr2_01_2,147.3577,48.36494,103.959,100.099,78.65911,54.99412,55.56889,55.26466,57.19324,57.00795,48.56658,62.48483,29.45329
117,vr2_02_2,3635.932,1981.618,4073.821,4227.883,3800.205,1535.38,1706.7,1655.784,1939.989,1725.383,1506.012,2602.749,1131.714
118,vr2_2,3807.656,2060.968,4217.17,4373.025,3945.12,1657.762,1829.179,1777.95,2064.106,1849.32,1609.067,2701.122,1184.822
