,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
113,vr2_02_1,0.03107135,0.09738658,0.05237013,0.03051367,0.09337248,0.1304414,0.05136011,0.04997188,0.03875746,0.009039154,0.03599089,0.08379833,0.04706092,0.04268554,0.02983633
114,vr2_1,0.03219815,0.1006789,0.05521119,0.03315041,0.09808313,0.1341576,0.05418954,0.05420086,0.04147608,0.0112693,0.03868432,0.08842351,0.04984862,0.04544013,0.03111446
115,vr2_00_2,30.01968,51.36081,53.98947,54.05159,67.90195,55.10647,54.39953,67.03518,54.25448,54.02756,54.21861,67.74067,54.1335,53.8159,34.25755
116,vr2_01_2,45.38909,72.57368,47.83131,43.12169,62.58077,74.23211,46.84541,54.19394,44.42859,41.1255,43.97136,60.8398,46.15826,45.69243,39.67053
117,vr2_02_2,2079.386,3665.995,1876.893,1124.539,2586.376,4539.855,1837.811,1432.508,1406.855,385.6709,1312.064,2329.605,1693.089,1541.992,1725.758
118,vr2_2,2154.794,3789.93,1978.714,1221.712,2716.859,4669.193,1939.056,1553.737,1505.538,480.824,1410.254,2458.185,1793.38,1641.501,1799.686
119,vP680qU,0.1427333,0.3505324,1.584503,4.356241,2.848304,1.422066,3.498369,4.954593,4.20411,14.65424,4.390355,2.524144,2.557321,1.63544,0.2396386
120,vP680qA,0.1444829,0.3543775,1.601437,4.408928,2.887476,1.439471,3.543783,5.023757,4.257692,14.853,4.445966,2.557262,2.586597,1.652932,0.242591
121,vU_P680,72.80521,125.435,135.4291,138.9171,170.9215,136.4869,138.565,171.6701,139.1366,149.5777,139.2826,170.2995,136.9736,135.2173,84.14522
122,vP680_d,0.1427322,0.350537,1.584503,4.356241,2.848304,1.422067,3.498369,4.954593,4.20411,14.65424,4.390355,2.524144,2.557319,1.63544,0.2396386
123,vP680_f,-4.457917e-06,-6.364737e-05,-3.03266e-07,2.591182e-08,0.0003180249,9.539684e-07,8.390173e-10,-2.202341e-05,-1.980516e-07,2.138166e-07,1.42695e-06,-8.549377e-07,-0.003034154,-1.71497e-10,3.005561e-07
124,Vva,0.0,0.0,0.02459557,0.0230946,0.02136914,0.02065638,0.02059609,0.02164143,0.02138174,0.02150495,0.02162816,0.02334602,0.02413469,0.02241686,0.0
125,Vaz,0.0,0.0,0.04048954,0.07529821,0.08400819,0.08696442,0.08720277,0.08280043,0.08395374,0.08341207,0.08286031,0.07374146,0.06794175,0.02694602,0.0
126,Vza,1.192663e-11,1.368024e-11,0.04048921,0.07529821,0.08400833,0.08696454,0.08720277,0.08280048,0.08395374,0.08341206,0.08286037,0.07374152,0.06794176,0.02694602,1.462455e-11
127,Vav,2.561135e-10,3.174978e-10,0.02459515,0.0230946,0.02136922,0.02065648,0.0205961,0.02164143,0.02138174,0.02150495,0.0216282,0.02334607,0.02413469,0.02241686,3.113691e-10
128,Vvf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Vv2ABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,VABAdg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,ve2GAPDH,-7.577722e-12,1.176088e-11,-1.541985e-13,5.731372e-15,3.087898e-13,1.133152e-11,1.439659e-13,2.970214e-13,-1.021857e-15,1.518875e-13,7.678967e-12,-1.187982e-14,1.702974e-11,-1.541814e-16,-6.860142e-13
132,ve2FBPase,-4.79501e-12,1.71386e-11,-5.01645e-13,6.892466e-17,1.443075e-15,2.458005e-12,2.99317e-13,7.665076e-16,9.235207e-14,1.567579e-14,3.362776e-12,-9.535088e-16,1.891302e-12,-2.903671e-18,9.065218e-14
133,ve2SBPase,-1.385819e-11,4.952326e-11,-2.50462e-12,3.790112e-16,1.237503e-14,1.07291e-11,1.273372e-12,6.54059e-15,2.5823e-14,6.969096e-14,1.408306e-11,-4.497087e-15,8.021478e-12,-1.685782e-17,1.928132e-13
134,ve2PRK,-7.549653e-12,1.141471e-11,-1.494806e-13,7.653363e-15,3.68912e-13,8.813658e-12,8.627541e-15,3.735297e-13,-9.475283e-16,1.490428e-13,2.659905e-12,-1.179348e-14,1.666713e-11,-1.792522e-16,-8.422877e-13
135,ve2ATPase,-8.493419e-13,1.283881e-12,-1.683757e-14,8.614792e-16,4.152761e-14,9.90992e-13,9.672852e-16,4.204361e-14,-1.065614e-16,1.676491e-14,2.985462e-13,-1.326802e-15,1.874737e-12,-2.016836e-17,-9.432724e-14
136,ve2ATPGPP,-7.165198e-12,1.15156e-11,-1.640518e-12,2.737588e-15,1.599529e-13,1.707535e-11,1.272362e-12,1.291531e-13,-1.187361e-15,1.46002e-13,2.014089e-11,-1.117646e-14,1.64469e-11,-9.225724e-17,-1.32761e-13
137,ve2MDH,-2.959875e-14,4.402305e-14,-6.971691e-16,3.716103e-17,1.457114e-15,3.381147e-14,2.57498e-17,1.673493e-15,-3.550762e-18,5.791537e-16,7.688647e-15,-4.624122e-17,6.474492e-14,-7.589415e-19,-4.138833e-15
138,ve2Fd,6.869592,10.44306,13.37521,13.89791,16.21412,11.3082,13.5974,16.23848,13.80412,14.25521,13.84534,16.21948,13.57418,13.54658,7.891291
139,veFd2Thio,-4.947656e-11,1.163208e-10,-5.305263e-12,2.68953e-14,1.250405e-11,6.119846e-11,3.138561e-12,3.420767e-12,1.142366e-13,6.999484e-13,5.202805e-11,-5.326626e-14,9.308299e-11,-6.472221e-16,1.471936e-10
140,veFd2Calvin,0.9014919,2.308898,1.938452,1.74065,0.864131,2.720665,1.85437,0.8549152,1.776143,1.605438,1.760543,0.8621023,1.863159,1.873604,1.02708
141,ve2RuACT,-7.619077e-13,1.224238e-12,-1.724832e-13,2.927273e-16,1.71087e-14,1.811182e-12,1.342364e-13,1.38393e-14,-1.259976e-16,1.552344e-14,2.133193e-12,-1.18858e-15,1.748629e-12,-9.853323e-18,-1.494438e-14
