,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
0,vc,14.94342,24.58622,26.28733,26.4347,26.52115,26.52592,26.52645,26.51331,26.50018,26.49518,26.49197,26.451,26.39528,26.2214,17.86133
1,vo,5.423015,8.922418,9.539756,9.593237,9.62461,9.626344,9.626534,9.621764,9.617001,9.615187,9.614022,9.599153,9.578932,9.51583,6.481935
2,v2,38.01415,62.5437,66.87458,67.24945,67.46935,67.4815,67.48284,67.4494,67.41602,67.4033,67.39513,67.29092,67.14919,66.70681,45.43614
3,v3,38.01415,62.5437,66.87458,67.24945,67.46935,67.4815,67.48284,67.4494,67.41602,67.4033,67.39513,67.29091,67.14919,66.70681,45.43614
4,v5,6.938353,11.86947,13.11606,13.19037,13.23311,13.23546,13.23572,13.22922,13.22273,13.22026,13.21862,13.1984,13.17086,13.07482,8.337881
5,v6,6.938353,11.86947,13.11606,13.19037,13.23311,13.23546,13.23572,13.22922,13.22273,13.22026,13.21862,13.1984,13.17086,13.07482,8.337882
6,v7,6.788811,11.16955,11.94236,12.00931,12.04859,12.05076,12.05099,12.04502,12.03906,12.03679,12.03533,12.01671,11.9914,11.91241,8.114408
7,v8,6.788811,11.16955,11.94236,12.00931,12.04859,12.05076,12.05099,12.04502,12.03906,12.03679,12.03533,12.01673,11.9914,11.91241,8.114415
8,v9,6.788811,11.16955,11.94236,12.00931,12.04859,12.05076,12.05099,12.04502,12.03906,12.03679,12.03533,12.01629,11.9914,11.91241,8.114415
9,v10,6.788811,11.16955,11.94236,12.00931,12.04859,12.05076,12.05099,12.04502,12.03906,12.03679,12.03533,12.01673,11.9914,11.91241,8.114416
10,v13,20.36643,33.50864,35.82708,36.02793,36.14576,36.15227,36.15298,36.13507,36.11718,36.11037,36.10599,36.05016,35.97421,35.73723,24.34324
11,v23,0.1646513,0.7131442,1.185658,1.193132,1.196665,1.196853,1.196877,1.196335,1.195795,1.195596,1.195407,1.193782,1.191499,1.174355,0.2384141
12,v24,0.1646513,0.7131442,1.185658,1.193132,1.196665,1.196853,1.196877,1.196335,1.195795,1.195596,1.195408,1.193782,1.191499,1.174355,0.2384142
13,v25,0.01511011,0.01321874,0.01195843,0.01207114,0.01214378,0.01214873,0.01214853,0.01213785,0.01212731,0.01212255,0.01211968,0.01208653,0.0120408,0.01194148,0.01490348
14,v112,5.423015,8.922418,9.539756,9.593237,9.62461,9.626344,9.626534,9.621764,9.617001,9.615187,9.614022,9.599153,9.578932,9.51583,6.481935
15,v113,2.711507,4.461208,4.769878,4.796618,4.812305,4.813172,4.813267,4.810882,4.808501,4.807594,4.807011,4.799575,4.789466,4.757915,3.240992
16,v121,5.423015,8.922418,9.539756,9.593237,9.62461,9.626344,9.626534,9.621764,9.617001,9.615187,9.614022,9.599153,9.578932,9.51583,6.481936
17,v122,2.711507,4.461208,4.769878,4.796618,4.812305,4.813172,4.813267,4.810882,4.808501,4.807594,4.807011,4.799575,4.789466,4.757915,3.240991
18,v123,2.711507,4.461208,4.769878,4.796618,4.812305,4.813172,4.813267,4.810882,4.808501,4.807594,4.807011,4.799575,4.789466,4.757915,3.240991
19,v124,2.711508,4.46121,4.769878,4.796618,4.812305,4.813172,4.813267,4.810882,4.808501,4.807594,4.807011,4.799578,4.789466,4.757915,3.240945
20,v131,2.711507,4.461209,4.769878,4.796618,4.812305,4.813172,4.813267,4.810882,4.808501,4.807594,4.807011,4.799576,4.789466,4.757915,3.240972
21,vlin,2.711507,4.461208,4.769878,4.796618,4.812305,4.813172,4.813267,4.810882,4.808501,4.807594,4.807011,4.799575,4.789466,4.757915,3.240991
22,v2out,5.423015,8.922418,9.539756,9.593237,9.62461,9.626344,9.626534,9.621764,9.617001,9.615187,9.614022,9.599153,9.578932,9.51583,6.481936
23,v51,1.885507,2.648056,2.407688,2.420386,2.428689,2.429155,2.429202,2.427946,2.426689,2.426203,2.425956,2.421971,2.416625,2.409965,2.20863
24,v52,1.885507,2.648056,2.407688,2.420386,2.428689,2.429155,2.429202,2.427946,2.426689,2.426203,2.425959,2.421971,2.416625,2.409965,2.208629
25,v55,0.9427594,1.324028,1.203844,1.210193,1.214344,1.214578,1.214601,1.213973,1.213345,1.213102,1.212276,1.210987,1.208312,1.204982,1.104292
26,v56,0.9427536,1.324028,1.203844,1.210193,1.214344,1.214578,1.214601,1.213973,1.213345,1.213102,1.212984,1.210986,1.208312,1.204982,1.104309
