,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
0,vc,14.92768,24.64321,26.28926,26.43905,26.51616,26.51871,26.52805,26.51479,26.50201,26.49931,26.49286,26.45195,26.39493,26.22202,17.93152
1,vo,5.417303,8.943099,9.540458,9.594818,9.622799,9.623724,9.627114,9.622304,9.617665,9.616687,9.614346,9.599498,9.578805,9.516057,6.507406
2,v2,37.97412,62.68874,66.8795,67.26054,67.45664,67.46313,67.4869,67.45319,67.42067,67.41382,67.39741,67.29333,67.1483,66.7084,45.61464
3,v3,37.97412,62.68873,66.8795,67.26054,67.45664,67.46313,67.4869,67.45319,67.42067,67.41382,67.39741,67.29333,67.1483,66.7084,45.61464
4,v5,6.930882,11.9055,13.11735,13.19279,13.22954,13.23118,13.23681,13.23025,13.22393,13.22259,13.2194,13.19917,13.17098,13.07548,8.372002
5,v6,6.930882,11.9055,13.11735,13.19279,13.22954,13.23118,13.23681,13.23025,13.22393,13.22259,13.2194,13.19917,13.17098,13.07548,8.372002
6,v7,6.781661,11.19543,11.94324,12.01129,12.04632,12.04748,12.05172,12.0457,12.03989,12.03867,12.03574,12.01715,11.99124,11.91269,8.146309
7,v8,6.781661,11.19543,11.94324,12.01129,12.04632,12.04748,12.05172,12.0457,12.03989,12.03867,12.03574,12.01715,11.99124,11.91269,8.146308
8,v9,6.781661,11.19543,11.94324,12.01129,12.04632,12.04748,12.05172,12.0457,12.03989,12.03867,12.03574,12.01715,11.99124,11.91276,8.146308
9,v10,6.781661,11.19543,11.94324,12.01129,12.04632,12.04748,12.05172,12.0457,12.03989,12.03867,12.03574,12.01715,11.99124,11.91269,8.146308
10,v13,20.34498,33.5863,35.82972,36.03387,36.13896,36.14243,36.15516,36.1371,36.11967,36.116,36.10721,36.05145,35.97373,35.73808,24.43893
11,v23,0.1643297,0.7232534,1.186069,1.193577,1.195366,1.19585,1.197238,1.196693,1.196166,1.196047,1.195784,1.194104,1.191779,1.174726,0.2405906
12,v24,0.1643297,0.7232535,1.186069,1.193577,1.195366,1.19585,1.197238,1.196693,1.196166,1.196047,1.195784,1.194104,1.191779,1.174726,0.2405906
13,v25,0.01511081,0.01318548,0.01195872,0.01207554,0.0121448,0.01214435,0.01214906,0.01213787,0.01212778,0.01212556,0.01211991,0.01208613,0.01203987,0.0119405,0.01489728
14,v112,5.417303,8.943099,9.540458,9.594818,9.622799,9.623724,9.627114,9.622304,9.617665,9.616687,9.614346,9.599498,9.578805,9.516057,6.507406
15,v113,2.708651,4.471551,4.770229,4.797409,4.811399,4.811862,4.813557,4.811152,4.808832,4.808343,4.807173,4.799749,4.789402,4.758029,3.253703
16,v121,5.417303,8.943099,9.540458,9.594818,9.622799,9.623724,9.627114,9.622304,9.617665,9.616687,9.614346,9.599498,9.578805,9.516057,6.507406
